#Median black hole mass (Mbh_median) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh_median)@log(Mpeak)=12 log10(Mbh_median)_16@log(Mpeak)=12 log10(Mbh_median)_84@log(Mpeak)=12 log10(Mbh_median)@log(Mpeak)=13 log10(Mbh_median)_16@log(Mpeak)=13 log10(Mbh_median)_84@log(Mpeak)=13 log10(Mbh_median)@log(Mpeak)=14 log10(Mbh_median)_16@log(Mpeak)=14 log10(Mbh_median)_84@log(Mpeak)=14 log10(Mbh_median)@log(Mpeak)=15 log10(Mbh_median)_16@log(Mpeak)=15 log10(Mbh_median)_84@log(Mpeak)=15
8.624837 -7.612259 -9.012140 -6.784849 -4.764677 -5.885439 -4.078838 -2.368390 -3.230230 -1.781479 -0.249642 -0.974627 0.212134
8.601912 -7.519928 -8.906027 -6.702849 -4.679684 -5.795690 -4.001154 -2.289535 -3.143354 -1.708072 -0.176443 -0.893914 0.280171
8.579040 -7.432191 -8.804428 -6.622238 -4.599085 -5.710284 -3.927458 -2.214924 -3.061073 -1.638484 -0.107500 -0.817828 0.344203
8.556224 -7.345740 -8.704091 -6.542017 -4.519713 -5.626092 -3.854876 -2.141499 -2.980076 -1.569965 -0.039746 -0.743037 0.407116
8.533461 -7.259288 -8.603754 -6.461795 -4.440342 -5.541901 -3.782295 -2.068074 -2.899080 -1.501445 0.028008 -0.668246 0.470029
8.510753 -7.172837 -8.503417 -6.381573 -4.360970 -5.457709 -3.709713 -1.994649 -2.818083 -1.432925 0.095761 -0.593455 0.532942
8.488099 -7.086385 -8.403079 -6.301351 -4.281599 -5.373517 -3.637132 -1.921224 -2.737086 -1.364406 0.163515 -0.518663 0.595854
8.465499 -6.999933 -8.302742 -6.221129 -4.202227 -5.289325 -3.564551 -1.847799 -2.656090 -1.295886 0.231269 -0.443872 0.658767
8.442952 -6.915032 -8.204166 -6.142099 -4.124328 -5.205002 -3.493241 -1.775826 -2.576661 -1.229038 0.297649 -0.370577 0.720576
8.420460 -6.833993 -8.109976 -6.066038 -4.050094 -5.120352 -3.425100 -1.707469 -2.501140 -1.166352 0.360606 -0.301007 0.779633
8.398021 -6.752953 -8.015786 -5.989976 -3.975860 -5.035703 -3.356958 -1.639112 -2.425618 -1.103665 0.423562 -0.231437 0.838689
8.375635 -6.671914 -7.921596 -5.913915 -3.901626 -4.951053 -3.288817 -1.570754 -2.350096 -1.040979 0.486519 -0.161868 0.897746
8.353303 -6.590875 -7.827406 -5.837854 -3.827392 -4.866403 -3.220676 -1.502397 -2.274574 -0.978293 0.549476 -0.092298 0.956803
8.331024 -6.509835 -7.733216 -5.761792 -3.753158 -4.781753 -3.152534 -1.434040 -2.199052 -0.915607 0.612433 -0.022729 1.015860
8.308798 -6.428796 -7.639026 -5.685731 -3.678925 -4.697104 -3.084393 -1.365683 -2.123530 -0.852921 0.675390 0.046841 1.074917
8.286624 -6.351735 -7.552246 -5.614382 -3.608464 -4.616559 -3.019624 -1.300875 -2.054315 -0.793216 0.734984 0.112003 1.129936
8.264504 -6.275724 -7.467419 -5.544276 -3.538998 -4.537096 -2.955743 -1.237002 -1.986762 -0.734296 0.793691 0.176004 1.183890
8.242437 -6.199712 -7.382591 -5.474170 -3.469532 -4.457633 -2.891863 -1.173129 -1.919210 -0.675376 0.852398 0.240005 1.237844
8.220422 -6.123700 -7.297764 -5.404063 -3.400066 -4.378171 -2.827983 -1.109256 -1.851657 -0.616456 0.911105 0.304006 1.291798
8.198459 -6.047688 -7.212936 -5.333957 -3.330600 -4.298708 -2.764102 -1.045383 -1.784104 -0.557536 0.969812 0.368007 1.345752
8.176549 -5.971676 -7.128109 -5.263851 -3.261134 -4.219245 -2.700222 -0.981511 -1.716552 -0.498616 1.028520 0.432008 1.399707
8.154691 -5.896384 -7.043915 -5.194598 -3.192223 -4.140319 -2.636679 -0.918025 -1.649376 -0.439767 1.086976 0.496081 1.453912
8.132885 -5.822800 -6.961225 -5.127373 -3.124631 -4.062665 -2.573936 -0.855458 -1.583096 -0.381088 1.144837 0.560328 1.508714
8.111131 -5.749216 -6.878535 -5.060148 -3.057039 -3.985012 -2.511193 -0.792891 -1.516816 -0.322408 1.202698 0.624575 1.563515
8.089428 -5.675632 -6.795845 -4.992923 -2.989448 -3.907358 -2.448451 -0.730325 -1.450536 -0.263729 1.260559 0.688822 1.618317
8.067778 -5.602048 -6.713155 -4.925698 -2.921856 -3.829705 -2.385708 -0.667758 -1.384256 -0.205049 1.318421 0.753069 1.673119
8.046179 -5.528463 -6.630465 -4.858472 -2.854264 -3.752051 -2.322965 -0.605191 -1.317976 -0.146370 1.376282 0.817316 1.727920
8.024631 -5.454879 -6.547775 -4.791247 -2.786672 -3.674398 -2.260223 -0.542624 -1.251695 -0.087690 1.434143 0.881563 1.782722
8.003135 -5.383234 -6.467302 -4.725992 -2.720574 -3.599116 -2.199654 -0.481195 -1.183837 -0.030613 1.490926 0.943802 1.836100
7.981690 -5.312069 -6.387379 -4.661225 -2.654847 -3.524421 -2.139625 -0.420048 -1.115587 0.026068 1.547441 1.005543 1.889125
7.960296 -5.240905 -6.307456 -4.596457 -2.589121 -3.449727 -2.079596 -0.358900 -1.047337 0.082748 1.603957 1.067284 1.942149
7.938953 -5.169740 -6.227533 -4.531690 -2.523394 -3.375032 -2.019567 -0.297753 -0.979086 0.139429 1.660472 1.129026 1.995174
7.917661 -5.098576 -6.147610 -4.466923 -2.457667 -3.300337 -1.959538 -0.236606 -0.910836 0.196109 1.716988 1.190767 2.048199
7.896420 -5.027411 -6.067686 -4.402156 -2.391940 -3.225643 -1.899509 -0.175458 -0.842586 0.252790 1.773503 1.252508 2.101224
7.875229 -4.957666 -5.989740 -4.339234 -2.327582 -3.152797 -1.840842 -0.115701 -0.775727 0.307933 1.828720 1.312838 2.152700
7.854088 -4.891137 -5.916270 -4.280492 -2.266325 -3.084140 -1.785260 -0.059094 -0.712017 0.359595 1.880996 1.369971 2.200670
7.832998 -4.824608 -5.842800 -4.221750 -2.205068 -3.015482 -1.729678 -0.002487 -0.648308 0.411257 1.933271 1.427103 2.248639
7.811959 -4.758080 -5.769331 -4.163008 -2.143811 -2.946825 -1.674096 0.054120 -0.584598 0.462919 1.985547 1.484236 2.296609
7.790969 -4.691551 -5.695861 -4.104266 -2.082554 -2.878168 -1.618514 0.110727 -0.520889 0.514580 2.037823 1.541368 2.344579
7.770029 -4.625022 -5.622391 -4.045524 -2.021298 -2.809510 -1.562932 0.167335 -0.457180 0.566242 2.090099 1.598501 2.392548
7.749140 -4.558493 -5.548922 -3.986781 -1.960041 -2.740853 -1.507350 0.223942 -0.393470 0.617904 2.142374 1.655633 2.440518
7.728300 -4.495435 -5.481251 -3.927093 -1.902093 -2.676783 -1.453619 0.277397 -0.333351 0.666696 2.191646 1.709898 2.486851
7.707509 -4.433184 -5.414931 -3.867185 -1.844916 -2.613782 -1.400319 0.330118 -0.274068 0.714820 2.240217 1.763496 2.532803
7.686768 -4.370934 -5.348611 -3.807276 -1.787738 -2.550780 -1.347019 0.382840 -0.214785 0.762944 2.288789 1.817093 2.578755
7.666077 -4.308683 -5.282290 -3.747368 -1.730561 -2.487779 -1.293719 0.435561 -0.155502 0.811069 2.337361 1.870691 2.624708
7.645435 -4.246433 -5.215970 -3.687460 -1.673384 -2.424777 -1.240419 0.488282 -0.096219 0.859193 2.385933 1.924288 2.670660
7.624842 -4.184183 -5.149649 -3.627551 -1.616206 -2.361775 -1.187119 0.541004 -0.036936 0.907317 2.434505 1.977886 2.716612
7.604298 -4.123176 -5.084352 -3.569105 -1.560241 -2.300005 -1.134540 0.592604 0.020681 0.954802 2.482017 2.029962 2.761571
7.583803 -4.064858 -5.021268 -3.513822 -1.506897 -2.240897 -1.083519 0.641778 0.074695 1.000905 2.527239 2.078749 2.804379
7.563357 -4.006540 -4.958183 -3.458540 -1.453552 -2.181790 -1.032498 0.690953 0.128709 1.047008 2.572460 2.127535 2.847187
7.542959 -3.948222 -4.895099 -3.403257 -1.400208 -2.122682 -0.981477 0.740127 0.182723 1.093111 2.617681 2.176322 2.889995
7.522610 -3.889904 -4.832014 -3.347974 -1.346864 -2.063574 -0.930456 0.789302 0.236737 1.139214 2.662903 2.225108 2.932803
7.502310 -3.831586 -4.768930 -3.292691 -1.293520 -2.004467 -0.879435 0.838476 0.290751 1.185316 2.708124 2.273895 2.975611
7.482058 -3.773268 -4.705845 -3.237408 -1.240175 -1.945359 -0.828414 0.887650 0.344765 1.231419 2.753345 2.322682 3.018419
7.461854 -3.717940 -4.645527 -3.185333 -1.189665 -1.890466 -0.780984 0.934143 0.395770 1.275052 2.795698 2.368701 3.058159
7.441698 -3.663264 -4.585812 -3.133957 -1.139772 -1.836492 -0.734336 0.980050 0.446119 1.318146 2.837427 2.414117 3.097229
7.421591 -3.608587 -4.526097 -3.082581 -1.089880 -1.782518 -0.687689 1.025958 0.496468 1.361240 2.879155 2.459533 3.136300
7.401531 -3.553911 -4.466382 -3.031205 -1.039987 -1.728544 -0.641041 1.071866 0.546817 1.404334 2.920883 2.504950 3.175371
7.381519 -3.499234 -4.406667 -2.979829 -0.990094 -1.674570 -0.594394 1.117774 0.597166 1.447429 2.962611 2.550366 3.214442
7.361554 -3.444558 -4.346952 -2.928453 -0.940201 -1.620596 -0.547746 1.163681 0.647515 1.490523 3.004339 2.595783 3.253512
7.341638 -3.389885 -4.287398 -2.877518 -0.890085 -1.566735 -0.500901 1.209918 0.697945 1.533619 3.046617 2.641838 3.292933
7.321768 -3.335221 -4.228176 -2.827493 -0.839507 -1.513106 -0.453646 1.256833 0.748539 1.576720 3.090032 2.689215 3.333078
7.301946 -3.280557 -4.168955 -2.777469 -0.788930 -1.459476 -0.406391 1.303748 0.799134 1.619820 3.133447 2.736592 3.373223
7.282171 -3.225893 -4.109733 -2.727445 -0.738352 -1.405847 -0.359136 1.350664 0.849729 1.662921 3.176862 2.783968 3.413368
