#Black hole mass function (BHMF) from z=0-10, from Trinity
#Ref: Zhang et al. (2021)
#z log(Mbh)[Msun] log(Number Density)[Mpc^-3 dex^-1] log(16-th Percentile of Number Density)[Mpc^-3 dex^-1] log(84-th Percentile of Number Density)[Mpc^-3 dex^-1]
2.000000 10.000000 -6.725168 -6.813477 -6.655703
2.000000 10.100000 -7.100580 -7.173408 -7.022034
2.000000 10.200000 -7.489839 -7.570344 -7.397247
2.000000 10.300000 -7.901479 -7.992720 -7.787264
2.000000 10.400000 -8.331527 -8.446289 -8.195385
2.000000 10.500000 -8.786699 -8.919589 -8.634048
3.000000 4.000000 -2.114396 -2.173969 -2.039776
3.000000 4.100000 -2.153692 -2.211962 -2.079698
3.000000 4.200000 -2.193091 -2.249983 -2.119732
3.000000 4.300000 -2.232599 -2.288114 -2.159883
3.000000 4.400000 -2.271868 -2.326303 -2.200158
3.000000 4.500000 -2.311006 -2.364583 -2.240564
3.000000 4.600000 -2.349816 -2.402987 -2.281105
3.000000 4.700000 -2.389763 -2.440948 -2.321792
3.000000 4.800000 -2.429809 -2.479044 -2.361576
3.000000 4.900000 -2.469911 -2.517302 -2.401242
3.000000 5.000000 -2.508793 -2.555733 -2.442255
3.000000 5.100000 -2.547322 -2.594344 -2.483591
3.000000 5.200000 -2.586867 -2.633114 -2.525120
3.000000 5.300000 -2.625509 -2.672083 -2.566851
3.000000 5.400000 -2.664308 -2.711031 -2.608795
3.000000 5.500000 -2.704021 -2.750392 -2.650963
3.000000 5.600000 -2.744850 -2.790209 -2.693368
3.000000 5.700000 -2.786142 -2.829894 -2.736024
3.000000 5.800000 -2.826705 -2.869375 -2.778676
3.000000 5.900000 -2.866361 -2.909772 -2.820038
3.000000 6.000000 -2.908104 -2.950446 -2.861985
3.000000 6.100000 -2.950599 -2.992397 -2.905307
3.000000 6.200000 -2.994771 -3.035242 -2.949162
3.000000 6.300000 -3.039565 -3.076497 -2.993119
3.000000 6.400000 -3.081532 -3.118059 -3.036969
3.000000 6.500000 -3.124542 -3.160523 -3.079815
3.000000 6.600000 -3.168643 -3.204642 -3.122796
3.000000 6.700000 -3.211913 -3.248282 -3.166248
3.000000 6.800000 -3.255328 -3.291775 -3.210083
3.000000 6.900000 -3.299311 -3.336056 -3.254331
3.000000 7.000000 -3.344496 -3.380710 -3.299028
3.000000 7.100000 -3.389917 -3.426552 -3.344224
3.000000 7.200000 -3.435648 -3.474665 -3.389982
3.000000 7.300000 -3.482754 -3.524264 -3.436388
3.000000 7.400000 -3.530080 -3.572177 -3.483558
3.000000 7.500000 -3.578126 -3.619144 -3.531136
3.000000 7.600000 -3.628021 -3.671088 -3.581299
3.000000 7.700000 -3.679814 -3.724545 -3.633577
3.000000 7.800000 -3.733915 -3.779795 -3.685713
3.000000 7.900000 -3.792043 -3.838069 -3.741926
3.000000 8.000000 -3.852647 -3.899727 -3.800405
3.000000 8.100000 -3.917109 -3.965497 -3.862208
3.000000 8.200000 -3.984332 -4.035026 -3.928375
3.000000 8.300000 -4.058285 -4.112689 -4.000112
3.000000 8.400000 -4.136934 -4.194681 -4.077728
3.000000 8.500000 -4.225952 -4.287578 -4.162867
3.000000 8.600000 -4.323599 -4.385609 -4.256863
3.000000 8.700000 -4.432170 -4.491808 -4.360802
3.000000 8.800000 -4.548529 -4.608409 -4.475848
3.000000 8.900000 -4.676208 -4.741140 -4.601726
3.000000 9.000000 -4.817404 -4.888473 -4.738317
3.000000 9.100000 -4.969230 -5.046185 -4.891477
3.000000 9.200000 -5.136837 -5.217292 -5.056946
3.000000 9.300000 -5.316890 -5.399953 -5.238814
3.000000 9.400000 -5.516015 -5.597852 -5.434682
3.000000 9.500000 -5.727192 -5.813503 -5.648585
3.000000 9.600000 -5.951824 -6.042533 -5.879165
3.000000 9.700000 -6.197860 -6.292040 -6.132894
3.000000 9.800000 -6.457431 -6.553213 -6.391953
3.000000 9.900000 -6.741841 -6.831324 -6.670494
3.000000 10.000000 -7.040483 -7.123167 -6.974662
3.000000 10.100000 -7.355961 -7.432619 -7.293936
3.000000 10.200000 -7.697206 -7.775125 -7.626632
3.000000 10.300000 -8.051699 -8.137058 -7.973230
3.000000 10.400000 -8.424404 -8.504919 -8.340403
3.000000 10.500000 -8.816422 -8.915909 -8.720327
4.000000 4.000000 -2.452495 -2.527974 -2.363454
4.000000 4.100000 -2.493411 -2.568915 -2.405996
4.000000 4.200000 -2.534641 -2.610191 -2.448980
4.000000 4.300000 -2.576637 -2.651813 -2.492635
4.000000 4.400000 -2.619398 -2.693796 -2.536651
4.000000 4.500000 -2.662535 -2.735868 -2.580518
4.000000 4.600000 -2.706065 -2.778222 -2.623822
4.000000 4.700000 -2.749967 -2.820024 -2.667952
4.000000 4.800000 -2.792965 -2.862107 -2.712893
4.000000 4.900000 -2.836373 -2.906186 -2.758365
4.000000 5.000000 -2.880876 -2.950625 -2.804288
4.000000 5.100000 -2.926437 -2.994631 -2.850680
4.000000 5.200000 -2.972508 -3.037623 -2.897576
4.000000 5.300000 -3.018847 -3.081095 -2.945268
4.000000 5.400000 -3.065244 -3.127213 -2.993725
4.000000 5.500000 -3.112865 -3.174029 -3.042311
4.000000 5.600000 -3.160388 -3.221439 -3.091565
4.000000 5.700000 -3.208772 -3.270912 -3.141663
4.000000 5.800000 -3.257967 -3.321611 -3.192424
4.000000 5.900000 -3.308587 -3.373023 -3.243879
4.000000 6.000000 -3.358860 -3.425180 -3.296057
4.000000 6.100000 -3.410984 -3.474956 -3.348991
4.000000 6.200000 -3.464112 -3.528280 -3.402502
4.000000 6.300000 -3.516767 -3.580785 -3.455786
4.000000 6.400000 -3.571320 -3.633948 -3.509924
4.000000 6.500000 -3.625100 -3.687924 -3.564755
4.000000 6.600000 -3.680535 -3.742782 -3.620491
4.000000 6.700000 -3.737824 -3.798563 -3.677179
4.000000 6.800000 -3.794925 -3.855079 -3.734870
4.000000 6.900000 -3.851921 -3.910754 -3.793711
4.000000 7.000000 -3.911077 -3.970033 -3.854244
4.000000 7.100000 -3.972974 -4.031574 -3.916004
4.000000 7.200000 -4.036533 -4.093357 -3.978770
4.000000 7.300000 -4.100414 -4.155544 -4.042176
4.000000 7.400000 -4.165658 -4.219407 -4.105606
4.000000 7.500000 -4.232439 -4.284784 -4.172289
4.000000 7.600000 -4.300120 -4.355060 -4.240692
4.000000 7.700000 -4.369870 -4.427266 -4.311222
4.000000 7.800000 -4.442044 -4.502904 -4.383552
4.000000 7.900000 -4.515376 -4.577702 -4.458554
4.000000 8.000000 -4.592094 -4.654971 -4.534087
