#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "same mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.746716 11.500000 0.502045
8.746716 11.550000 0.498801
8.746716 11.600000 0.495558
8.746716 11.650000 0.492315
8.746716 11.700000 0.489072
8.696780 11.000000 0.527829
8.696780 11.050000 0.524027
8.696780 11.100000 0.520226
8.696780 11.150000 0.516445
8.696780 11.200000 0.512664
8.696780 11.250000 0.508883
8.696780 11.300000 0.505103
8.696780 11.350000 0.501488
8.696780 11.400000 0.497874
8.696780 11.450000 0.494260
8.696780 11.500000 0.490646
8.696780 11.550000 0.487409
8.696780 11.600000 0.484172
8.696780 11.650000 0.480935
8.696780 11.700000 0.477697
8.696780 11.750000 0.475082
8.646845 11.000000 0.516538
8.646845 11.050000 0.512716
8.646845 11.100000 0.508895
8.646845 11.150000 0.505101
8.646845 11.200000 0.501307
8.646845 11.250000 0.497513
8.646845 11.300000 0.493719
8.646845 11.350000 0.490101
8.646845 11.400000 0.486483
8.646845 11.450000 0.482865
8.646845 11.500000 0.479247
8.646845 11.550000 0.476016
8.646845 11.600000 0.472785
8.646845 11.650000 0.469554
8.646845 11.700000 0.466323
8.646845 11.750000 0.463725
8.596909 11.000000 0.505247
8.596909 11.050000 0.501405
8.596909 11.100000 0.497563
8.596909 11.150000 0.493756
8.596909 11.200000 0.489950
8.596909 11.250000 0.486143
8.596909 11.300000 0.482336
8.596909 11.350000 0.478714
8.596909 11.400000 0.475092
8.596909 11.450000 0.471471
8.596909 11.500000 0.467849
8.596909 11.550000 0.464624
8.596909 11.600000 0.461399
8.596909 11.650000 0.458174
8.596909 11.700000 0.454949
8.596909 11.750000 0.452369
8.547741 11.000000 0.494947
8.547741 11.050000 0.491112
8.547741 11.100000 0.487277
8.547741 11.150000 0.483487
8.547741 11.200000 0.479697
8.547741 11.250000 0.475907
8.547741 11.300000 0.472117
8.547741 11.350000 0.468522
8.547741 11.400000 0.464928
8.547741 11.450000 0.461334
8.547741 11.500000 0.457739
8.547741 11.550000 0.454553
8.547741 11.600000 0.451366
8.547741 11.650000 0.448179
8.547741 11.700000 0.444993
8.547741 11.750000 0.442462
8.547741 11.800000 0.439931
8.498573 11.000000 0.484647
8.498573 11.050000 0.480819
8.498573 11.100000 0.476992
8.498573 11.150000 0.473218
8.498573 11.200000 0.469445
8.498573 11.250000 0.465671
8.498573 11.300000 0.461897
8.498573 11.350000 0.458331
8.498573 11.400000 0.454764
8.498573 11.450000 0.451197
8.498573 11.500000 0.447630
8.498573 11.550000 0.444481
8.498573 11.600000 0.441333
8.498573 11.650000 0.438184
8.498573 11.700000 0.435036
8.498573 11.750000 0.432554
8.498573 11.800000 0.430073
8.449405 11.000000 0.474347
8.449405 11.050000 0.470527
8.449405 11.100000 0.466706
8.449405 11.150000 0.462949
8.449405 11.200000 0.459192
8.449405 11.250000 0.455435
8.449405 11.300000 0.451678
8.449405 11.350000 0.448139
8.449405 11.400000 0.444599
