#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
8.646845 11.200000 -8.121875
8.646845 11.250000 -7.975760
8.646845 11.300000 -7.866623
8.646845 11.350000 -7.408124
8.646845 11.400000 -7.190098
8.646845 11.450000 -7.045618
8.646845 11.500000 -6.937392
8.646845 11.550000 -6.501221
8.646845 11.600000 -6.288046
8.646845 11.650000 -6.145690
8.646845 11.700000 -6.038655
8.646845 11.750000 -5.626152
8.596909 11.000000 -9.032176
8.596909 11.050000 -8.885126
8.596909 11.100000 -8.775470
8.596909 11.150000 -8.302639
8.596909 11.200000 -8.081654
8.596909 11.250000 -7.935896
8.596909 11.300000 -7.826958
8.596909 11.350000 -7.372585
8.596909 11.400000 -7.155433
8.596909 11.450000 -7.011333
8.596909 11.500000 -6.903319
8.596909 11.550000 -6.471179
8.596909 11.600000 -6.258914
8.596909 11.650000 -6.116959
8.596909 11.700000 -6.010150
8.596909 11.750000 -5.601525
8.547741 11.000000 -8.982205
8.547741 11.050000 -8.835673
8.547741 11.100000 -8.726304
8.547741 11.150000 -8.259350
8.547741 11.200000 -8.039563
8.547741 11.250000 -7.894322
8.547741 11.300000 -7.785671
8.547741 11.350000 -7.336782
8.547741 11.400000 -7.120806
8.547741 11.450000 -6.977220
8.547741 11.500000 -6.869494
8.547741 11.550000 -6.442377
8.547741 11.600000 -6.231259
8.547741 11.650000 -6.089813
8.547741 11.700000 -5.983291
8.547741 11.750000 -5.579211
8.547741 11.800000 -5.373569
8.498573 11.000000 -8.937395
8.498573 11.050000 -8.791280
8.498573 11.100000 -8.682143
8.498573 11.150000 -8.219986
8.498573 11.200000 -8.001193
8.498573 11.250000 -7.856382
8.498573 11.300000 -7.747970
8.498573 11.350000 -7.303706
8.498573 11.400000 -7.088738
8.498573 11.450000 -6.945593
8.498573 11.500000 -6.838114
8.498573 11.550000 -6.415367
8.498573 11.600000 -6.205260
8.498573 11.650000 -6.064264
8.498573 11.700000 -5.957996
8.498573 11.750000 -5.557987
8.498573 11.800000 -5.353351
8.449405 11.000000 -8.896779
8.449405 11.050000 -8.751007
8.449405 11.100000 -8.642060
8.449405 11.150000 -8.183896
8.449405 11.200000 -7.965940
8.449405 11.250000 -7.821491
8.449405 11.300000 -7.713282
8.449405 11.350000 -7.272973
8.449405 11.400000 -7.058876
8.449405 11.450000 -6.916113
8.449405 11.500000 -6.808850
8.449405 11.550000 -6.389939
8.449405 11.600000 -6.180730
8.449405 11.650000 -6.040134
8.449405 11.700000 -5.934094
8.449405 11.750000 -5.537752
8.449405 11.800000 -5.334032
8.400992 11.000000 -8.853555
8.400992 11.050000 -8.708282
8.400992 11.100000 -8.599613
8.400992 11.150000 -8.146808
8.400992 11.200000 -7.929990
8.400992 11.250000 -7.786036
8.400992 11.300000 -7.678104
