#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
8.420460 -14.353785 -15.624655 -13.593003 -11.587788 -12.605270 -10.974507 -9.264359 -10.057333 -8.743339 -7.216278 -7.869788 -6.806416
8.398021 -14.274371 -15.535323 -13.520291 -11.515252 -12.524467 -10.908317 -9.197659 -9.983535 -8.682056 -7.154997 -7.801710 -6.749802
8.375635 -14.194956 -15.445991 -13.447579 -11.442715 -12.443664 -10.842126 -9.130960 -9.909736 -8.620773 -7.093716 -7.733631 -6.693188
8.353303 -14.115542 -15.356659 -13.374867 -11.370179 -12.362860 -10.775936 -9.064260 -9.835938 -8.559491 -7.032435 -7.665552 -6.636574
8.331024 -14.036128 -15.267327 -13.302156 -11.297642 -12.282057 -10.709746 -8.997561 -9.762139 -8.498208 -6.971154 -7.597474 -6.579960
8.308798 -13.956713 -15.177995 -13.229444 -11.225106 -12.201254 -10.643556 -8.930861 -9.688341 -8.436925 -6.909873 -7.529395 -6.523345
8.286624 -13.880848 -15.092427 -13.160019 -11.155824 -12.124156 -10.580235 -8.867170 -9.617900 -8.378407 -6.851378 -7.464425 -6.469317
8.264504 -13.805918 -15.007850 -13.091461 -11.087400 -12.048035 -10.517670 -8.804272 -9.548344 -8.320617 -6.793617 -7.400273 -6.415971
8.242437 -13.730988 -14.923274 -13.022903 -11.018977 -11.971914 -10.455105 -8.741374 -9.478789 -8.262828 -6.735856 -7.336122 -6.362624
8.220422 -13.656058 -14.838698 -12.954345 -10.950553 -11.895792 -10.392540 -8.678475 -9.409233 -8.205038 -6.678095 -7.271971 -6.309278
