#Average average black hole accretion rate (BHAR) to star formation rate (SFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR/SFR)
8.256499 11.100000 -5.884846
8.256499 11.150000 -5.748109
8.256499 11.200000 -5.611372
8.256499 11.250000 -5.474635
8.256499 11.300000 -5.337898
8.256499 11.350000 -5.207015
8.256499 11.400000 -5.076132
8.256499 11.450000 -4.945249
8.256499 11.500000 -4.814366
8.256499 11.550000 -4.690243
8.256499 11.600000 -4.566121
8.256499 11.650000 -4.441998
8.256499 11.700000 -4.317876
8.256499 11.750000 -4.201153
8.256499 11.800000 -4.084431
8.256499 11.850000 -3.967709
8.208831 11.000000 -6.139530
8.208831 11.050000 -5.999195
8.208831 11.100000 -5.858860
8.208831 11.150000 -5.723331
8.208831 11.200000 -5.587803
8.208831 11.250000 -5.452274
8.208831 11.300000 -5.316747
8.208831 11.350000 -5.187017
8.208831 11.400000 -5.057288
8.208831 11.450000 -4.927560
8.208831 11.500000 -4.797831
8.208831 11.550000 -4.674793
8.208831 11.600000 -4.551756
8.208831 11.650000 -4.428718
8.208831 11.700000 -4.305681
8.208831 11.750000 -4.189968
8.208831 11.800000 -4.074255
8.208831 11.850000 -3.958541
8.208831 11.900000 -3.842828
8.161163 11.000000 -6.111046
8.161163 11.050000 -5.971960
8.161163 11.100000 -5.832875
8.161163 11.150000 -5.698555
8.161163 11.200000 -5.564235
8.161163 11.250000 -5.429915
8.161163 11.300000 -5.295595
8.161163 11.350000 -5.167021
8.161163 11.400000 -5.038445
8.161163 11.450000 -4.909869
8.161163 11.500000 -4.781295
8.161163 11.550000 -4.659343
8.161163 11.600000 -4.537391
8.161163 11.650000 -4.415439
8.161163 11.700000 -4.293487
8.161163 11.750000 -4.178783
8.161163 11.800000 -4.064078
8.161163 11.850000 -3.949372
8.161163 11.900000 -3.834668
8.114227 11.000000 -6.077394
8.114227 11.050000 -5.939474
8.114227 11.100000 -5.801554
8.114227 11.150000 -5.668385
8.114227 11.200000 -5.535215
8.114227 11.250000 -5.402046
8.114227 11.300000 -5.268876
8.114227 11.350000 -5.141427
8.114227 11.400000 -5.013977
8.114227 11.450000 -4.886529
8.114227 11.500000 -4.759080
8.114227 11.550000 -4.638221
8.114227 11.600000 -4.517363
8.114227 11.650000 -4.396503
8.114227 11.700000 -4.275644
8.114227 11.750000 -4.161992
8.114227 11.800000 -4.048339
8.114227 11.850000 -3.934686
8.114227 11.900000 -3.821033
8.067291 11.000000 -6.043744
8.067291 11.050000 -5.906989
8.067291 11.100000 -5.770235
8.067291 11.150000 -5.638215
8.067291 11.200000 -5.506196
8.067291 11.250000 -5.374176
8.067291 11.300000 -5.242156
8.067291 11.350000 -5.115834
8.067291 11.400000 -4.989511
8.067291 11.450000 -4.863188
8.067291 11.500000 -4.736864
8.067291 11.550000 -4.617099
8.067291 11.600000 -4.497333
