#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "no mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
9.053381 11.650000 0.651054
9.001875 11.000000 0.683792
9.001875 11.050000 0.680437
9.001875 11.100000 0.677082
9.001875 11.150000 0.673762
9.001875 11.200000 0.670441
9.001875 11.250000 0.667121
9.001875 11.300000 0.663801
9.001875 11.350000 0.660649
9.001875 11.400000 0.657498
9.001875 11.450000 0.654347
9.001875 11.500000 0.651196
9.001875 11.550000 0.648407
9.001875 11.600000 0.645617
9.001875 11.650000 0.642828
8.950368 11.000000 0.675879
8.950368 11.050000 0.672532
8.950368 11.100000 0.669185
8.950368 11.150000 0.665856
8.950368 11.200000 0.662528
8.950368 11.250000 0.659200
8.950368 11.300000 0.655871
8.950368 11.350000 0.652690
8.950368 11.400000 0.649509
8.950368 11.450000 0.646328
8.950368 11.500000 0.643147
8.950368 11.550000 0.640298
8.950368 11.600000 0.637450
8.950368 11.650000 0.634602
8.898861 11.000000 0.667967
8.898861 11.050000 0.664627
8.898861 11.100000 0.661287
8.898861 11.150000 0.657951
8.898861 11.200000 0.654615
8.898861 11.250000 0.651279
8.898861 11.300000 0.647942
8.898861 11.350000 0.644731
8.898861 11.400000 0.641520
8.898861 11.450000 0.638309
8.898861 11.500000 0.635097
8.898861 11.550000 0.632190
8.898861 11.600000 0.629283
8.898861 11.650000 0.626375
8.898861 11.700000 0.623468
8.848146 11.000000 0.657306
8.848146 11.050000 0.653933
8.848146 11.100000 0.650561
8.848146 11.150000 0.647185
8.848146 11.200000 0.643809
8.848146 11.250000 0.640433
8.848146 11.300000 0.637058
8.848146 11.350000 0.633798
8.848146 11.400000 0.630538
8.848146 11.450000 0.627278
8.848146 11.500000 0.624019
8.848146 11.550000 0.621052
8.848146 11.600000 0.618085
8.848146 11.650000 0.615119
8.848146 11.700000 0.612152
8.797431 11.000000 0.646644
8.797431 11.050000 0.643239
8.797431 11.100000 0.639834
8.797431 11.150000 0.636419
8.797431 11.200000 0.633004
8.797431 11.250000 0.629588
8.797431 11.300000 0.626173
8.797431 11.350000 0.622865
8.797431 11.400000 0.619556
8.797431 11.450000 0.616248
8.797431 11.500000 0.612940
8.797431 11.550000 0.609914
8.797431 11.600000 0.606888
8.797431 11.650000 0.603862
8.797431 11.700000 0.600836
8.746716 11.000000 0.635983
8.746716 11.050000 0.632545
8.746716 11.100000 0.629108
8.746716 11.150000 0.625653
8.746716 11.200000 0.622198
8.746716 11.250000 0.618743
8.746716 11.300000 0.615288
8.746716 11.350000 0.611931
8.746716 11.400000 0.608575
8.746716 11.450000 0.605218
8.746716 11.500000 0.601861
8.746716 11.550000 0.598776
8.746716 11.600000 0.595691
8.746716 11.650000 0.592606
8.746716 11.700000 0.589520
8.696780 11.000000 0.623788
8.696780 11.050000 0.620318
8.696780 11.100000 0.616848
8.696780 11.150000 0.613367
8.696780 11.200000 0.609886
8.696780 11.250000 0.606405
8.696780 11.300000 0.602924
8.696780 11.350000 0.599550
8.696780 11.400000 0.596176
8.696780 11.450000 0.592802
8.696780 11.500000 0.589428
8.696780 11.550000 0.586336
8.696780 11.600000 0.583245
8.696780 11.650000 0.580153
8.696780 11.700000 0.577061
8.696780 11.750000 0.574464
8.646845 11.000000 0.611593
8.646845 11.050000 0.608091
8.646845 11.100000 0.604588
8.646845 11.150000 0.601081
8.646845 11.200000 0.597574
8.646845 11.250000 0.594067
8.646845 11.300000 0.590560
8.646845 11.350000 0.587168
8.646845 11.400000 0.583777
8.646845 11.450000 0.580385
8.646845 11.500000 0.576994
8.646845 11.550000 0.573896
8.646845 11.600000 0.570798
8.646845 11.650000 0.567700
8.646845 11.700000 0.564602
8.646845 11.750000 0.562013
8.596909 11.000000 0.599398
8.596909 11.050000 0.595863
8.596909 11.100000 0.592328
8.596909 11.150000 0.588795
8.596909 11.200000 0.585262
8.596909 11.250000 0.581729
8.596909 11.300000 0.578195
8.596909 11.350000 0.574787
8.596909 11.400000 0.571378
8.596909 11.450000 0.567969
8.596909 11.500000 0.564560
8.596909 11.550000 0.561456
8.596909 11.600000 0.558352
8.596909 11.650000 0.555248
8.596909 11.700000 0.552143
8.596909 11.750000 0.549562
8.547741 11.000000 0.588105
8.547741 11.050000 0.584564
8.547741 11.100000 0.581023
8.547741 11.150000 0.577493
8.547741 11.200000 0.573963
8.547741 11.250000 0.570433
8.547741 11.300000 0.566903
8.547741 11.350000 0.563508
8.547741 11.400000 0.560114
8.547741 11.450000 0.556720
8.547741 11.500000 0.553325
8.547741 11.550000 0.550248
8.547741 11.600000 0.547170
8.547741 11.650000 0.544093
8.547741 11.700000 0.541015
8.547741 11.750000 0.538475
8.547741 11.800000 0.535935
8.498573 11.000000 0.576812
