#Average black hole merger rate (BHMR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHMR)@log(Mpeak)=12 log10(BHMR)_16@log(Mpeak)=12 log10(BHMR)_84@log(Mpeak)=12 log10(BHMR)@log(Mpeak)=13 log10(BHMR)_16@log(Mpeak)=13 log10(BHMR)_84@log(Mpeak)=13 log10(BHMR)@log(Mpeak)=14 log10(BHMR)_16@log(Mpeak)=14 log10(BHMR)_84@log(Mpeak)=14 log10(BHMR)@log(Mpeak)=15 log10(BHMR)_16@log(Mpeak)=15 log10(BHMR)_84@log(Mpeak)=15
8.533461 -19.323013 -22.516350 -19.002899 -16.360717 -19.477263 -16.138930 -13.870780 -16.920610 -13.781932 -11.662729 -14.641663 -11.693572
8.510753 -19.231232 -22.428060 -18.917777 -16.275340 -19.393758 -16.058319 -13.792195 -16.833554 -13.707821 -11.589438 -14.576705 -11.624974
8.488099 -19.139450 -22.339770 -18.832654 -16.189962 -19.310253 -15.977707 -13.713609 -16.746499 -13.633710 -11.516148 -14.511747 -11.556376
8.465499 -19.047669 -22.251480 -18.747532 -16.104585 -19.226747 -15.897095 -13.635024 -16.659443 -13.559599 -11.442858 -14.446789 -11.487777
8.442952 -18.957509 -22.161521 -18.663955 -16.020803 -19.145619 -15.818913 -13.557785 -16.575482 -13.488271 -11.371240 -14.382187 -11.421115
8.420460 -18.871387 -22.067407 -18.584229 -15.940996 -19.070413 -15.746782 -13.483900 -16.499232 -13.423875 -11.303789 -14.318474 -11.359276
8.398021 -18.785265 -21.973293 -18.504502 -15.861189 -18.995207 -15.674652 -13.410015 -16.422981 -13.359479 -11.236337 -14.254761 -11.297437
8.375635 -18.699142 -21.879178 -18.424776 -15.781382 -18.920000 -15.602522 -13.336131 -16.346731 -13.295083 -11.168886 -14.191047 -11.235597
8.353303 -18.613020 -21.785064 -18.345050 -15.701575 -18.844794 -15.530392 -13.262246 -16.270481 -13.230687 -11.101434 -14.127334 -11.173758
8.331024 -18.526898 -21.690949 -18.265324 -15.621768 -18.769588 -15.458261 -13.188361 -16.194231 -13.166291 -11.033983 -14.063621 -11.111919
8.308798 -18.440776 -21.596835 -18.185597 -15.541961 -18.694382 -15.386131 -13.114476 -16.117981 -13.101895 -10.966531 -13.999907 -11.050080
8.286624 -18.358419 -21.513576 -18.110417 -15.466415 -18.616945 -15.317902 -13.044477 -16.045167 -13.036632 -10.903530 -13.935259 -10.990164
8.264504 -18.277055 -21.433178 -18.036436 -15.391992 -18.538920 -15.250700 -12.975501 -15.973260 -12.971141 -10.841701 -13.870364 -10.930756
8.242437 -18.195690 -21.352781 -17.962454 -15.317570 -18.460895 -15.183499 -12.906526 -15.901353 -12.905650 -10.779872 -13.805469 -10.871347
8.220422 -18.114325 -21.272383 -17.888473 -15.243147 -18.382871 -15.116298 -12.837551 -15.829446 -12.840158 -10.718043 -13.740573 -10.811939
8.198459 -18.032961 -21.191985 -17.814491 -15.168725 -18.304846 -15.049097 -12.768575 -15.757539 -12.774667 -10.656215 -13.675678 -10.752530
8.176549 -17.951596 -21.111588 -17.740509 -15.094302 -18.226821 -14.981895 -12.699600 -15.685631 -12.709175 -10.594386 -13.610783 -10.693122
8.154691 -17.871693 -21.033387 -17.667219 -15.021327 -18.148278 -14.915651 -12.631933 -15.614603 -12.644417 -10.533025 -13.549053 -10.633803
8.132885 -17.795259 -20.960404 -17.595569 -14.951787 -18.068502 -14.851677 -12.567374 -15.545661 -12.581399 -10.472773 -13.494838 -10.574696
8.111131 -17.718825 -20.887420 -17.523919 -14.882247 -17.988726 -14.787703 -12.502814 -15.476719 -12.518381 -10.412521 -13.440623 -10.515589
8.089428 -17.642391 -20.814437 -17.452270 -14.812707 -17.908950 -14.723729 -12.438254 -15.407777 -12.455363 -10.352269 -13.386408 -10.456482
8.067778 -17.565957 -20.741453 -17.380620 -14.743167 -17.829174 -14.659756 -12.373695 -15.338836 -12.392345 -10.292017 -13.332193 -10.397375
8.046179 -17.489523 -20.668470 -17.308970 -14.673627 -17.749398 -14.595782 -12.309135 -15.269894 -12.329327 -10.231765 -13.277978 -10.338268
8.024631 -17.413089 -20.595487 -17.237320 -14.604087 -17.669622 -14.531808 -12.244575 -15.200952 -12.266309 -10.171513 -13.223762 -10.279161
8.003135 -17.338618 -20.526560 -17.165421 -14.536004 -17.590780 -14.467293 -12.181158 -15.137047 -12.205139 -10.112663 -13.166519 -10.224228
7.981690 -17.264635 -20.458638 -17.093460 -14.468282 -17.512171 -14.402642 -12.118023 -15.074391 -12.144428 -10.054161 -13.108525 -10.170330
7.960296 -17.190651 -20.390717 -17.021498 -14.400560 -17.433561 -14.337992 -12.054889 -15.011735 -12.083716 -9.995659 -13.050531 -10.116432
7.938953 -17.116667 -20.322796 -16.949537 -14.332838 -17.354952 -14.273342 -11.991754 -14.949079 -12.023005 -9.937158 -12.992537 -10.062534
7.917661 -17.042684 -20.254875 -16.877576 -14.265115 -17.276342 -14.208691 -11.928620 -14.886423 -11.962293 -9.878656 -12.934542 -10.008636
7.896420 -16.968700 -20.186954 -16.805614 -14.197393 -17.197733 -14.144041 -11.865486 -14.823767 -11.901582 -9.820154 -12.876548 -9.954738
7.875229 -16.895469 -20.116549 -16.734855 -14.130246 -17.123644 -14.080582 -11.803044 -14.763500 -11.842435 -9.763278 -12.819537 -9.901550
7.854088 -16.823942 -20.040517 -16.666818 -14.064403 -17.059797 -14.019824 -11.742171 -14.708647 -11.786832 -9.710086 -12.764751 -9.849970
7.832998 -16.752415 -19.964485 -16.598782 -13.998559 -16.995949 -13.959065 -11.681298 -14.653795 -11.731230 -9.656894 -12.709965 -9.798390
7.811959 -16.680887 -19.888453 -16.530745 -13.932715 -16.932102 -13.898306 -11.620425 -14.598942 -11.675627 -9.603702 -12.655179 -9.746809
7.790969 -16.609360 -19.812421 -16.462709 -13.866871 -16.868255 -13.837547 -11.559552 -14.544089 -11.620024 -9.550510 -12.600393 -9.695229
7.770029 -16.537833 -19.736389 -16.394672 -13.801028 -16.804407 -13.776788 -11.498679 -14.489237 -11.564422 -9.497318 -12.545607 -9.643649
7.749140 -16.466306 -19.660357 -16.326635 -13.735184 -16.740560 -13.716030 -11.437806 -14.434384 -11.508819 -9.444126 -12.490821 -9.592069
7.728300 -16.398946 -19.584964 -16.265715 -13.673011 -16.672719 -13.657893 -11.380389 -14.381998 -11.456851 -9.394164 -12.439750 -9.543962
7.707509 -16.332555 -19.509720 -16.206451 -13.611694 -16.603949 -13.600366 -11.323776 -14.330186 -11.405729 -9.344954 -12.389544 -9.496665
7.686768 -16.266164 -19.434476 -16.147187 -13.550376 -16.535179 -13.542839 -11.267164 -14.278375 -11.354607 -9.295743 -12.339338 -9.449367
7.666077 -16.199774 -19.359232 -16.087923 -13.489058 -16.466409 -13.485312 -11.210551 -14.226563 -11.303485 -9.246533 -12.289131 -9.402069
7.645435 -16.133383 -19.283988 -16.028659 -13.427740 -16.397639 -13.427785 -11.153939 -14.174751 -11.252362 -9.197322 -12.238925 -9.354772
7.624842 -16.066993 -19.208744 -15.969396 -13.366422 -16.328869 -13.370258 -11.097326 -14.122940 -11.201240 -9.148112 -12.188719 -9.307474
7.604298 -16.001994 -19.135340 -15.910933 -13.306485 -16.264389 -13.314401 -11.042287 -14.072323 -11.151105 -9.100031 -12.140810 -9.261083
7.583803 -15.940006 -19.065917 -15.854203 -13.249534 -16.209187 -13.262155 -10.990652 -14.024292 -11.103105 -9.054392 -12.097871 -9.216654
7.563357 -15.878018 -18.996495 -15.797473 -13.192583 -16.153984 -13.209908 -10.939017 -13.976261 -11.055104 -9.008754 -12.054931 -9.172225
7.542959 -15.816030 -18.927072 -15.740743 -13.135631 -16.098782 -13.157662 -10.887382 -13.928229 -11.007103 -8.963116 -12.011992 -9.127796
7.522610 -15.754041 -18.857649 -15.684013 -13.078680 -16.043580 -13.105416 -10.835747 -13.880198 -10.959103 -8.917477 -11.969053 -9.083367
7.502310 -15.692053 -18.788226 -15.627284 -13.021729 -15.988378 -13.053169 -10.784112 -13.832167 -10.911102 -8.871839 -11.926113 -9.038938
7.482058 -15.630065 -18.718804 -15.570554 -12.964777 -15.933175 -13.000923 -10.732477 -13.784135 -10.863102 -8.826201 -11.883174 -8.994508
7.461854 -15.571236 -18.656664 -15.514790 -12.910828 -15.884940 -12.951533 -10.684800 -13.738824 -10.818034 -8.783598 -11.842589 -8.952602
7.441698 -15.513096 -18.596110 -15.459237 -12.857533 -15.838222 -12.902766 -10.637986 -13.694106 -10.773604 -8.741656 -11.802517 -8.911246
7.421591 -15.454955 -18.535557 -15.403683 -12.804238 -15.791505 -12.853999 -10.591172 -13.649388 -10.729175 -8.699714 -11.762445 -8.869889
7.401531 -15.396815 -18.475004 -15.348130 -12.750944 -15.744787 -12.805231 -10.544358 -13.604669 -10.684746 -8.657772 -11.722373 -8.828533
7.381519 -15.338674 -18.414450 -15.292577 -12.697649 -15.698070 -12.756464 -10.497544 -13.559951 -10.640316 -8.615831 -11.682301 -8.787177
7.361554 -15.280534 -18.353897 -15.237023 -12.644354 -15.651352 -12.707697 -10.450730 -13.515233 -10.595887 -8.573889 -11.642229 -8.745820
7.341638 -15.223566 -18.293287 -15.181214 -12.592169 -15.602832 -12.658268 -10.403347 -13.470011 -10.550700 -8.531021 -11.599508 -8.703379
7.321768 -15.169022 -18.232561 -15.124874 -12.542278 -15.550588 -12.607470 -10.354787 -13.423747 -10.503949 -8.486239 -11.551312 -8.658694
7.301946 -15.114479 -18.171834 -15.068535 -12.492387 -15.498344 -12.556672 -10.306227 -13.377484 -10.457198 -8.441456 -11.503117 -8.614010
7.282171 -15.059935 -18.111108 -15.012196 -12.442496 -15.446099 -12.505874 -10.257666 -13.331221 -10.410447 -8.396674 -11.454921 -8.569325
7.262444 -15.005391 -18.050382 -14.955856 -12.392606 -15.393855 -12.455076 -10.209106 -13.284958 -10.363696 -8.351891 -11.406726 -8.524641
7.242763 -14.950848 -17.989655 -14.899517 -12.342715 -15.341611 -12.404278 -10.160546 -13.238694 -10.316945 -8.307109 -11.358530 -8.479956
7.223129 -14.896304 -17.928929 -14.843178 -12.292824 -15.289367 -12.353480 -10.111986 -13.192431 -10.270194 -8.262326 -11.310334 -8.435272
7.203542 -14.841829 -17.869532 -14.790776 -12.242425 -15.241054 -12.305298 -10.066782 -13.146419 -10.226436 -8.220804 -11.268111 -8.394739
7.184002 -14.787369 -17.810406 -14.739176 -12.191922 -15.193541 -12.257648 -10.022261 -13.100458 -10.183286 -8.179945 -11.227101 -8.355051
7.164508 -14.732909 -17.751280 -14.687575 -12.141420 -15.146028 -12.209997 -9.977740 -13.054496 -10.140136 -8.139085 -11.186092 -8.315362
7.145060 -14.678448 -17.692154 -14.635975 -12.090917 -15.098515 -12.162347 -9.933219 -13.008535 -10.096986 -8.098226 -11.145082 -8.275674
7.125659 -14.623988 -17.633028 -14.584374 -12.040415 -15.051001 -12.114697 -9.888698 -12.962574 -10.053836 -8.057366 -11.104073 -8.235985
7.106304 -14.569527 -17.573902 -14.532774 -11.989912 -15.003488 -12.067046 -9.844177 -12.916613 -10.010686 -8.016507 -11.063063 -8.196297
7.086996 -14.515927 -17.516863 -14.481876 -11.940305 -14.955482 -12.020469 -9.800808 -12.870398 -9.968690 -7.976737 -11.023705 -8.157227
7.067733 -14.464027 -17.463946 -14.432369 -11.892467 -14.906500 -11.976012 -9.759715 -12.823683 -9.928973 -7.939121 -10.987611 -8.119378
7.048516 -14.412126 -17.411028 -14.382862 -11.844629 -14.857519 -11.931555 -9.718623 -12.776968 -9.889255 -7.901505 -10.951517 -8.081529
7.029345 -14.360226 -17.358111 -14.333355 -11.796791 -14.808537 -11.887098 -9.677531 -12.730252 -9.849538 -7.863889 -10.915423 -8.043681
7.010219 -14.308326 -17.305194 -14.283848 -11.748952 -14.759555 -11.842640 -9.636438 -12.683537 -9.809821 -7.826273 -10.879329 -8.005832
6.991139 -14.256425 -17.252277 -14.234340 -11.701114 -14.710574 -11.798183 -9.595346 -12.636822 -9.770104 -7.788657 -10.843234 -7.967984
6.972105 -14.204525 -17.199360 -14.184833 -11.653276 -14.661592 -11.753726 -9.554254 -12.590106 -9.730386 -7.751041 -10.807140 -7.930135
6.953116 -14.155348 -17.149486 -14.138155 -11.608647 -14.618119 -11.712094 -9.515647 -12.549490 -9.692828 -7.716042 -10.774809 -7.895169
6.934172 -14.106686 -17.100188 -14.092013 -11.564624 -14.575687 -11.670995 -9.477511 -12.510027 -9.655678 -7.681539 -10.743190 -7.860748
6.915273 -14.058024 -17.050890 -14.045870 -11.520602 -14.533256 -11.629896 -9.439374 -12.470565 -9.618528 -7.647035 -10.711570 -7.826327
6.896419 -14.009363 -17.001592 -13.999727 -11.476579 -14.490824 -11.588798 -9.401238 -12.431102 -9.581378 -7.612531 -10.679951 -7.791906
6.877610 -13.960701 -16.952293 -13.953584 -11.432556 -14.448393 -11.547699 -9.363101 -12.391639 -9.544228 -7.578028 -10.648332 -7.757485
6.858846 -13.912039 -16.902995 -13.907442 -11.388534 -14.405961 -11.506600 -9.324965 -12.352176 -9.507078 -7.543524 -10.616712 -7.723064
6.840127 -13.864420 -16.854381 -13.862783 -11.345820 -14.363700 -11.467705 -9.287830 -12.315025 -9.470059 -7.509939 -10.585905 -7.689722
6.821452 -13.818772 -16.807061 -13.820933 -11.305583 -14.321760 -11.432977 -9.252588 -12.282248 -9.433288 -7.478090 -10.556633 -7.658417
6.802822 -13.773124 -16.759741 -13.779082 -11.265345 -14.279821 -11.398249 -9.217346 -12.249470 -9.396518 -7.446242 -10.527360 -7.627113
6.784236 -13.727476 -16.712421 -13.737232 -11.225108 -14.237882 -11.363521 -9.182104 -12.216693 -9.359747 -7.414393 -10.498088 -7.595809
