#Median black hole mass--galaxy total stellar mass relation from z=0-5 from IllustrisTNG300.
#Ref: Habouzit et al. 2020, https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1940H/abstract
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun]
2.000000 11.046357 8.788959
2.000000 11.072023 8.806342
2.000000 11.097690 8.823725
2.000000 11.123356 8.849507
2.000000 11.149023 8.876999
2.000000 11.174689 8.904491
2.000000 11.200356 8.931984
2.000000 11.226023 8.959476
2.000000 11.251689 8.986968
2.000000 11.277356 9.014460
2.000000 11.303022 9.042034
2.000000 11.328689 9.070670
2.000000 11.354355 9.099305
2.000000 11.380022 9.127941
2.000000 11.405689 9.156577
2.000000 11.431355 9.188949
2.000000 11.457022 9.226591
2.000000 11.482688 9.264233
2.000000 11.508355 9.301875
2.000000 11.534021 9.339516
2.000000 11.559688 9.377158
2.000000 11.585355 9.414800
2.000000 11.611021 9.452131
2.000000 11.636688 9.486484
2.000000 11.662354 9.520836
2.000000 11.688021 9.555188
2.000000 11.713687 9.589540
2.000000 11.739354 9.625514
2.000000 11.765020 9.663580
2.000000 11.790687 9.701646
2.000000 11.816354 9.739712
2.000000 11.842020 9.777778
3.000000 9.301030 6.188343
3.000000 9.323996 6.191848
3.000000 9.346961 6.195352
3.000000 9.369927 6.202033
3.000000 9.392893 6.208910
3.000000 9.415858 6.215787
3.000000 9.438824 6.222664
3.000000 9.461790 6.229541
3.000000 9.484756 6.236418
3.000000 9.507721 6.243295
3.000000 9.530687 6.250172
3.000000 9.553653 6.257049
3.000000 9.576618 6.263926
3.000000 9.599584 6.270803
3.000000 9.622550 6.282106
3.000000 9.645515 6.303309
3.000000 9.668481 6.324511
3.000000 9.691447 6.345714
3.000000 9.714413 6.366917
3.000000 9.737378 6.388119
3.000000 9.760344 6.409322
3.000000 9.783310 6.430525
3.000000 9.806275 6.451727
3.000000 9.829241 6.472930
3.000000 9.852207 6.494133
3.000000 9.875172 6.534053
3.000000 9.898138 6.601036
3.000000 9.921104 6.668019
3.000000 9.944069 6.735002
3.000000 9.967035 6.801984
3.000000 9.990001 6.868967
3.000000 10.012967 6.935950
3.000000 10.035932 7.002933
3.000000 10.058898 7.069916
3.000000 10.081864 7.136899
3.000000 10.104829 7.203882
3.000000 10.127795 7.270865
3.000000 10.150761 7.337848
3.000000 10.173726 7.404831
3.000000 10.196692 7.471814
