#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
9.001875 11.550000 6.833274
9.001875 11.600000 6.952420
9.001875 11.650000 7.071567
8.950368 11.000000 5.440143
8.950368 11.050000 5.572397
8.950368 11.100000 5.704652
8.950368 11.150000 5.833106
8.950368 11.200000 5.961560
8.950368 11.250000 6.090014
8.950368 11.300000 6.218468
8.950368 11.350000 6.342387
8.950368 11.400000 6.466306
8.950368 11.450000 6.590225
8.950368 11.500000 6.714145
8.950368 11.550000 6.832951
8.950368 11.600000 6.951758
8.950368 11.650000 7.070564
8.898861 11.000000 5.444099
8.898861 11.050000 5.575932
8.898861 11.100000 5.707764
8.898861 11.150000 5.835817
8.898861 11.200000 5.963870
8.898861 11.250000 6.091923
8.898861 11.300000 6.219976
8.898861 11.350000 6.343523
8.898861 11.400000 6.467069
8.898861 11.450000 6.590616
8.898861 11.500000 6.714162
8.898861 11.550000 6.832629
8.898861 11.600000 6.951095
8.898861 11.650000 7.069562
8.898861 11.700000 7.188028
8.848146 11.000000 5.449148
8.848146 11.050000 5.580591
8.848146 11.100000 5.712034
8.848146 11.150000 5.839716
8.848146 11.200000 5.967397
8.848146 11.250000 6.095078
8.848146 11.300000 6.222760
8.848146 11.350000 6.345959
8.848146 11.400000 6.469158
8.848146 11.450000 6.592357
8.848146 11.500000 6.715555
8.848146 11.550000 6.833703
8.848146 11.600000 6.951850
8.848146 11.650000 7.069997
8.848146 11.700000 7.188144
8.797431 11.000000 5.454196
8.797431 11.050000 5.585250
8.797431 11.100000 5.716304
8.797431 11.150000 5.843614
8.797431 11.200000 5.970924
8.797431 11.250000 6.098234
8.797431 11.300000 6.225544
8.797431 11.350000 6.348395
8.797431 11.400000 6.471246
8.797431 11.450000 6.594097
8.797431 11.500000 6.716949
8.797431 11.550000 6.834776
8.797431 11.600000 6.952604
8.797431 11.650000 7.070432
8.797431 11.700000 7.188260
8.746716 11.000000 5.459245
8.746716 11.050000 5.589909
8.746716 11.100000 5.720574
8.746716 11.150000 5.847512
8.746716 11.200000 5.974451
8.746716 11.250000 6.101389
8.746716 11.300000 6.228328
8.746716 11.350000 6.350831
8.746716 11.400000 6.473335
8.746716 11.450000 6.595838
8.746716 11.500000 6.718342
8.746716 11.550000 6.835850
8.746716 11.600000 6.953359
8.746716 11.650000 7.070867
8.746716 11.700000 7.188375
8.696780 11.000000 5.461711
8.696780 11.050000 5.592002
8.696780 11.100000 5.722293
8.696780 11.150000 5.848877
8.696780 11.200000 5.975461
8.696780 11.250000 6.102044
8.696780 11.300000 6.228628
8.696780 11.350000 6.350802
8.696780 11.400000 6.472975
8.696780 11.450000 6.595149
8.696780 11.500000 6.717323
8.696780 11.550000 6.834529
8.696780 11.600000 6.951734
8.696780 11.650000 7.068940
8.696780 11.700000 7.186146
8.696780 11.750000 7.298110
8.646845 11.000000 5.464178
8.646845 11.050000 5.594095
8.646845 11.100000 5.724012
8.646845 11.150000 5.850241
8.646845 11.200000 5.976470
8.646845 11.250000 6.102700
8.646845 11.300000 6.228929
8.646845 11.350000 6.350773
8.646845 11.400000 6.472616
8.646845 11.450000 6.594460
8.646845 11.500000 6.716303
8.646845 11.550000 6.833207
8.646845 11.600000 6.950110
8.646845 11.650000 7.067014
8.646845 11.700000 7.183917
8.646845 11.750000 7.295604
8.596909 11.000000 5.466645
8.596909 11.050000 5.596188
8.596909 11.100000 5.725731
8.596909 11.150000 5.851606
8.596909 11.200000 5.977480
8.596909 11.250000 6.103355
8.596909 11.300000 6.229230
8.596909 11.350000 6.350743
8.596909 11.400000 6.472257
8.596909 11.450000 6.593770
8.596909 11.500000 6.715284
8.596909 11.550000 6.831885
8.596909 11.600000 6.948486
8.596909 11.650000 7.065087
8.596909 11.700000 7.181688
8.596909 11.750000 7.293097
8.547741 11.000000 5.466893
8.547741 11.050000 5.596080
8.547741 11.100000 5.725267
8.547741 11.150000 5.850807
8.547741 11.200000 5.976347
8.547741 11.250000 6.101886
8.547741 11.300000 6.227426
8.547741 11.350000 6.348630
8.547741 11.400000 6.469835
8.547741 11.450000 6.591039
8.547741 11.500000 6.712243
8.547741 11.550000 6.828563
8.547741 11.600000 6.944883
8.547741 11.650000 7.061203
8.547741 11.700000 7.177523
8.547741 11.750000 7.288675
8.547741 11.800000 7.399828
8.498573 11.000000 5.467140
8.498573 11.050000 5.595972
8.498573 11.100000 5.724803
8.498573 11.150000 5.850008
8.498573 11.200000 5.975213
8.498573 11.250000 6.100418
8.498573 11.300000 6.225623
8.498573 11.350000 6.346518
8.498573 11.400000 6.467413
8.498573 11.450000 6.588308
8.498573 11.500000 6.709203
8.498573 11.550000 6.825241
8.498573 11.600000 6.941280
8.498573 11.650000 7.057319
8.498573 11.700000 7.173357
8.498573 11.750000 7.284253
8.498573 11.800000 7.395149
8.449405 11.000000 5.467388
8.449405 11.050000 5.595864
8.449405 11.100000 5.724339
8.449405 11.150000 5.849209
8.449405 11.200000 5.974079
8.449405 11.250000 6.098949
8.449405 11.300000 6.223819
8.449405 11.350000 6.344405
8.449405 11.400000 6.464990
8.449405 11.450000 6.585576
8.449405 11.500000 6.706162
8.449405 11.550000 6.821920
8.449405 11.600000 6.937677
8.449405 11.650000 7.053434
8.449405 11.700000 7.169192
8.449405 11.750000 7.279831
8.449405 11.800000 7.390471
8.400992 11.000000 5.465698
8.400992 11.050000 5.593836
8.400992 11.100000 5.721975
8.400992 11.150000 5.846531
8.400992 11.200000 5.971087
8.400992 11.250000 6.095644
8.400992 11.300000 6.220200
8.400992 11.350000 6.340499
8.400992 11.400000 6.460798
8.400992 11.450000 6.581098
8.400992 11.500000 6.701397
8.400992 11.550000 6.816897
8.400992 11.600000 6.932397
8.400992 11.650000 7.047897
8.400992 11.700000 7.163396
8.400992 11.750000 7.273804
8.400992 11.800000 7.384211
8.400992 11.850000 7.494619
8.352580 11.000000 5.464007
8.352580 11.050000 5.591809
8.352580 11.100000 5.719611
8.352580 11.150000 5.843854
8.352580 11.200000 5.968096
8.352580 11.250000 6.092339
8.352580 11.300000 6.216581
8.352580 11.350000 6.336594
8.352580 11.400000 6.456606
8.352580 11.450000 6.576619
8.352580 11.500000 6.696632
8.352580 11.550000 6.811874
8.352580 11.600000 6.927116
8.352580 11.650000 7.042359
8.352580 11.700000 7.157601
8.352580 11.750000 7.267776
8.352580 11.800000 7.377952
8.352580 11.850000 7.488127
8.304168 11.000000 5.462317
8.304168 11.050000 5.589782
8.304168 11.100000 5.717247
8.304168 11.150000 5.841176
8.304168 11.200000 5.965105
8.304168 11.250000 6.089033
