#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
9.105692 11.500000 0.178717
9.105692 11.550000 0.179679
9.105692 11.600000 0.180642
9.053381 11.000000 0.173065
9.053381 11.050000 0.172647
9.053381 11.100000 0.172228
9.053381 11.150000 0.172168
9.053381 11.200000 0.172108
9.053381 11.250000 0.172048
9.053381 11.300000 0.171988
9.053381 11.350000 0.172402
9.053381 11.400000 0.172816
9.053381 11.450000 0.173230
9.053381 11.500000 0.173644
9.053381 11.550000 0.174681
9.053381 11.600000 0.175719
9.053381 11.650000 0.176756
9.001875 11.000000 0.165244
9.001875 11.050000 0.164811
9.001875 11.100000 0.164378
9.001875 11.150000 0.164286
9.001875 11.200000 0.164194
9.001875 11.250000 0.164103
9.001875 11.300000 0.164011
9.001875 11.350000 0.164378
9.001875 11.400000 0.164746
9.001875 11.450000 0.165113
9.001875 11.500000 0.165481
9.001875 11.550000 0.166462
9.001875 11.600000 0.167443
9.001875 11.650000 0.168424
8.950368 11.000000 0.157422
8.950368 11.050000 0.156974
8.950368 11.100000 0.156527
8.950368 11.150000 0.156403
8.950368 11.200000 0.156280
8.950368 11.250000 0.156157
8.950368 11.300000 0.156033
8.950368 11.350000 0.156355
8.950368 11.400000 0.156676
8.950368 11.450000 0.156997
8.950368 11.500000 0.157318
8.950368 11.550000 0.158243
8.950368 11.600000 0.159168
8.950368 11.650000 0.160093
8.898861 11.000000 0.149601
8.898861 11.050000 0.149138
8.898861 11.100000 0.148676
8.898861 11.150000 0.148521
8.898861 11.200000 0.148366
8.898861 11.250000 0.148211
8.898861 11.300000 0.148056
8.898861 11.350000 0.148331
8.898861 11.400000 0.148606
8.898861 11.450000 0.148880
8.898861 11.500000 0.149155
8.898861 11.550000 0.150024
8.898861 11.600000 0.150892
8.898861 11.650000 0.151761
8.898861 11.700000 0.152629
