#Average average specific black hole accretion rate (SBHAR) to specific star formation rate (SSFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SBHAR/SSFR)
9.053381 11.500000 0.152887
9.053381 11.550000 0.148422
9.053381 11.600000 0.143957
9.053381 11.650000 0.139492
9.001875 11.000000 0.197313
9.001875 11.050000 0.193618
9.001875 11.100000 0.189922
9.001875 11.150000 0.185889
9.001875 11.200000 0.181856
9.001875 11.250000 0.177823
9.001875 11.300000 0.173789
9.001875 11.350000 0.169463
9.001875 11.400000 0.165138
9.001875 11.450000 0.160812
9.001875 11.500000 0.156484
9.001875 11.550000 0.151957
9.001875 11.600000 0.147430
9.001875 11.650000 0.142903
8.950368 11.000000 0.201130
8.950368 11.050000 0.197430
8.950368 11.100000 0.193730
8.950368 11.150000 0.189680
8.950368 11.200000 0.185631
8.950368 11.250000 0.181581
8.950368 11.300000 0.177532
8.950368 11.350000 0.173169
8.950368 11.400000 0.168807
8.950368 11.450000 0.164446
8.950368 11.500000 0.160083
8.950368 11.550000 0.155493
8.950368 11.600000 0.150905
8.950368 11.650000 0.146316
8.898861 11.000000 0.204945
8.898861 11.050000 0.201242
8.898861 11.100000 0.197536
8.898861 11.150000 0.193472
8.898861 11.200000 0.189406
8.898861 11.250000 0.185339
8.898861 11.300000 0.181272
8.898861 11.350000 0.176875
8.898861 11.400000 0.172477
8.898861 11.450000 0.168080
8.898861 11.500000 0.163682
8.898861 11.550000 0.159030
8.898861 11.600000 0.154379
8.898861 11.650000 0.149729
8.898861 11.700000 0.145076
8.848146 11.000000 0.206786
8.848146 11.050000 0.203037
8.848146 11.100000 0.199289
8.848146 11.150000 0.195174
8.848146 11.200000 0.191060
8.848146 11.250000 0.186945
8.848146 11.300000 0.182830
8.848146 11.350000 0.178378
8.848146 11.400000 0.173925
8.848146 11.450000 0.169473
8.848146 11.500000 0.165021
8.848146 11.550000 0.160306
8.848146 11.600000 0.155591
8.848146 11.650000 0.150878
8.848146 11.700000 0.146164
8.797431 11.000000 0.208626
8.797431 11.050000 0.204833
8.797431 11.100000 0.201041
8.797431 11.150000 0.196877
8.797431 11.200000 0.192714
8.797431 11.250000 0.188550
8.797431 11.300000 0.184386
8.797431 11.350000 0.179879
8.797431 11.400000 0.175373
8.797431 11.450000 0.170866
8.797431 11.500000 0.166358
8.797431 11.550000 0.161582
8.797431 11.600000 0.156805
8.797431 11.650000 0.152029
8.797431 11.700000 0.147252
8.746716 11.000000 0.210465
8.746716 11.050000 0.206628
8.746716 11.100000 0.202792
8.746716 11.150000 0.198580
8.746716 11.200000 0.194367
8.746716 11.250000 0.190156
8.746716 11.300000 0.185942
8.746716 11.350000 0.181381
8.746716 11.400000 0.176819
8.746716 11.450000 0.172258
8.746716 11.500000 0.167695
8.746716 11.550000 0.162857
8.746716 11.600000 0.158017
8.746716 11.650000 0.153180
8.746716 11.700000 0.148339
8.696780 11.000000 0.209361
8.696780 11.050000 0.205459
8.696780 11.100000 0.201557
8.696780 11.150000 0.197288
8.696780 11.200000 0.193018
8.696780 11.250000 0.188749
8.696780 11.300000 0.184478
8.696780 11.350000 0.179871
8.696780 11.400000 0.175263
8.696780 11.450000 0.170654
8.696780 11.500000 0.166046
8.696780 11.550000 0.161173
8.696780 11.600000 0.156302
8.696780 11.650000 0.151430
8.696780 11.700000 0.146557
8.696780 11.750000 0.141543
8.646845 11.000000 0.208256
8.646845 11.050000 0.204289
8.646845 11.100000 0.200322
8.646845 11.150000 0.195996
8.646845 11.200000 0.191667
8.646845 11.250000 0.187342
8.646845 11.300000 0.183015
8.646845 11.350000 0.178360
8.646845 11.400000 0.173705
8.646845 11.450000 0.169050
8.646845 11.500000 0.164395
8.646845 11.550000 0.159490
8.646845 11.600000 0.154585
8.646845 11.650000 0.149680
8.646845 11.700000 0.144775
8.646845 11.750000 0.139743
8.596909 11.000000 0.207151
8.596909 11.050000 0.203120
8.596909 11.100000 0.199089
8.596909 11.150000 0.194704
8.596909 11.200000 0.190319
8.596909 11.250000 0.185935
8.596909 11.300000 0.181550
8.596909 11.350000 0.176848
8.596909 11.400000 0.172146
8.596909 11.450000 0.167447
8.596909 11.500000 0.162745
8.596909 11.550000 0.157806
8.596909 11.600000 0.152868
8.596909 11.650000 0.147931
8.596909 11.700000 0.142992
8.596909 11.750000 0.137943
8.547741 11.000000 0.205912
8.547741 11.050000 0.201829
8.547741 11.100000 0.197745
8.547741 11.150000 0.193321
8.547741 11.200000 0.188894
8.547741 11.250000 0.184469
8.547741 11.300000 0.180045
8.547741 11.350000 0.175315
8.547741 11.400000 0.170585
8.547741 11.450000 0.165856
8.547741 11.500000 0.161127
8.547741 11.550000 0.156176
8.547741 11.600000 0.151225
8.547741 11.650000 0.146275
8.547741 11.700000 0.141324
8.547741 11.750000 0.136279
8.547741 11.800000 0.131234
8.498573 11.000000 0.204672
8.498573 11.050000 0.200539
8.498573 11.100000 0.196403
8.498573 11.150000 0.191937
8.498573 11.200000 0.187471
8.498573 11.250000 0.183004
8.498573 11.300000 0.178539
8.498573 11.350000 0.173782
8.498573 11.400000 0.169024
8.498573 11.450000 0.164267
8.498573 11.500000 0.159509
8.498573 11.550000 0.154546
8.498573 11.600000 0.149584
8.498573 11.650000 0.144620
8.498573 11.700000 0.139656
8.498573 11.750000 0.134614
8.498573 11.800000 0.129573
8.449405 11.000000 0.203433
8.449405 11.050000 0.199247
8.449405 11.100000 0.195060
8.449405 11.150000 0.190554
8.449405 11.200000 0.186046
8.449405 11.250000 0.181540
8.449405 11.300000 0.177032
8.449405 11.350000 0.172248
8.449405 11.400000 0.167463
8.449405 11.450000 0.162678
8.449405 11.500000 0.157893
8.449405 11.550000 0.152917
8.449405 11.600000 0.147941
8.449405 11.650000 0.142964
8.449405 11.700000 0.137989
8.449405 11.750000 0.132950
8.449405 11.800000 0.127911
8.400992 11.000000 0.202092
8.400992 11.050000 0.197868
8.400992 11.100000 0.193644
8.400992 11.150000 0.189108
8.400992 11.200000 0.184574
8.400992 11.250000 0.180042
8.400992 11.300000 0.175508
8.400992 11.350000 0.170711
8.400992 11.400000 0.165916
8.400992 11.450000 0.161118
8.400992 11.500000 0.156322
8.400992 11.550000 0.151350
8.400992 11.600000 0.146377
8.400992 11.650000 0.141405
8.400992 11.700000 0.136434
8.400992 11.750000 0.131414
8.400992 11.800000 0.126394
8.400992 11.850000 0.121376
8.352580 11.000000 0.200751
8.352580 11.050000 0.196487
8.352580 11.100000 0.192224
8.352580 11.150000 0.187664
8.352580 11.200000 0.183104
8.352580 11.250000 0.178544
8.352580 11.300000 0.173985
8.352580 11.350000 0.169175
8.352580 11.400000 0.164367
8.352580 11.450000 0.159558
8.352580 11.500000 0.154750
8.352580 11.550000 0.149782
8.352580 11.600000 0.144813
8.352580 11.650000 0.139845
8.352580 11.700000 0.134876
8.352580 11.750000 0.129878
8.352580 11.800000 0.124878
8.352580 11.850000 0.119878
8.304168 11.000000 0.199410
8.304168 11.050000 0.195108
8.304168 11.100000 0.190806
8.304168 11.150000 0.186219
8.304168 11.200000 0.181633
8.304168 11.250000 0.177047
8.304168 11.300000 0.172461
8.304168 11.350000 0.167640
8.304168 11.400000 0.162820
8.304168 11.450000 0.157999
8.304168 11.500000 0.153179
8.304168 11.550000 0.148214
8.304168 11.600000 0.143250
8.304168 11.650000 0.138285
8.304168 11.700000 0.133321
8.304168 11.750000 0.128341
8.304168 11.800000 0.123361
8.304168 11.850000 0.118381
8.256499 11.000000 0.197974
8.256499 11.050000 0.193645
8.256499 11.100000 0.189316
8.256499 11.150000 0.184716
8.256499 11.200000 0.180116
8.256499 11.250000 0.175517
8.256499 11.300000 0.170918
8.256499 11.350000 0.166099
8.256499 11.400000 0.161282
8.256499 11.450000 0.156463
8.256499 11.500000 0.151645
8.256499 11.550000 0.146699
8.256499 11.600000 0.141751
8.256499 11.650000 0.136805
8.256499 11.700000 0.131857
8.256499 11.750000 0.126911
8.256499 11.800000 0.121962
8.256499 11.850000 0.117013
8.208831 11.000000 0.196540
8.208831 11.050000 0.192183
8.208831 11.100000 0.187826
8.208831 11.150000 0.183214
8.208831 11.200000 0.178601
