#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
9.001875 11.400000 3.848323
9.001875 11.450000 4.087971
9.001875 11.500000 4.327619
9.001875 11.550000 4.559348
9.001875 11.600000 4.791077
9.001875 11.650000 5.022807
8.950368 11.000000 1.941779
8.950368 11.050000 2.191309
8.950368 11.100000 2.440839
8.950368 11.150000 2.685187
8.950368 11.200000 2.929535
8.950368 11.250000 3.173883
8.950368 11.300000 3.418230
8.950368 11.350000 3.656050
8.950368 11.400000 3.893869
8.950368 11.450000 4.131688
8.950368 11.500000 4.369508
8.950368 11.550000 4.599461
8.950368 11.600000 4.829413
8.950368 11.650000 5.059366
8.898861 11.000000 2.002173
8.898861 11.050000 2.249827
8.898861 11.100000 2.497482
8.898861 11.150000 2.739969
8.898861 11.200000 2.982457
8.898861 11.250000 3.224945
8.898861 11.300000 3.467433
8.898861 11.350000 3.703424
8.898861 11.400000 3.939415
8.898861 11.450000 4.175406
8.898861 11.500000 4.411397
8.898861 11.550000 4.639573
8.898861 11.600000 4.867749
8.898861 11.650000 5.095925
8.898861 11.700000 5.324101
8.848146 11.000000 2.061499
8.848146 11.050000 2.307392
8.848146 11.100000 2.553285
8.848146 11.150000 2.794024
8.848146 11.200000 3.034763
8.848146 11.250000 3.275502
8.848146 11.300000 3.516241
8.848146 11.350000 3.750510
8.848146 11.400000 3.984779
8.848146 11.450000 4.219048
8.848146 11.500000 4.453317
8.848146 11.550000 4.679817
8.848146 11.600000 4.906316
8.848146 11.650000 5.132816
8.848146 11.700000 5.359315
8.797431 11.000000 2.120824
8.797431 11.050000 2.364957
8.797431 11.100000 2.609089
8.797431 11.150000 2.848079
8.797431 11.200000 3.087069
8.797431 11.250000 3.326059
8.797431 11.300000 3.565050
8.797431 11.350000 3.797596
8.797431 11.400000 4.030143
8.797431 11.450000 4.262690
8.797431 11.500000 4.495237
8.797431 11.550000 4.720060
8.797431 11.600000 4.944883
8.797431 11.650000 5.169706
8.797431 11.700000 5.394529
8.746716 11.000000 2.180150
8.746716 11.050000 2.422522
8.746716 11.100000 2.664893
8.746716 11.150000 2.902134
8.746716 11.200000 3.139375
8.746716 11.250000 3.376616
8.746716 11.300000 3.613858
8.746716 11.350000 3.844683
8.746716 11.400000 4.075508
8.746716 11.450000 4.306333
8.746716 11.500000 4.537158
8.746716 11.550000 4.760304
8.746716 11.600000 4.983450
8.746716 11.650000 5.206596
8.746716 11.700000 5.429743
8.696780 11.000000 2.232134
8.696780 11.050000 2.472812
8.696780 11.100000 2.713490
8.696780 11.150000 2.949054
8.696780 11.200000 3.184618
8.696780 11.250000 3.420182
8.696780 11.300000 3.655747
8.696780 11.350000 3.884924
8.696780 11.400000 4.114102
8.696780 11.450000 4.343280
8.696780 11.500000 4.572458
8.696780 11.550000 4.794005
8.696780 11.600000 5.015551
8.696780 11.650000 5.237098
8.696780 11.700000 5.458644
8.696780 11.750000 5.671572
8.646845 11.000000 2.284118
8.646845 11.050000 2.523103
8.646845 11.100000 2.762088
8.646845 11.150000 2.995975
8.646845 11.200000 3.229862
8.646845 11.250000 3.463748
8.646845 11.300000 3.697635
8.646845 11.350000 3.925166
8.646845 11.400000 4.152697
8.646845 11.450000 4.380228
8.646845 11.500000 4.607759
8.646845 11.550000 4.827706
8.646845 11.600000 5.047652
8.646845 11.650000 5.267599
8.646845 11.700000 5.487545
8.646845 11.750000 5.698933
8.596909 11.000000 2.336103
8.596909 11.050000 2.573394
8.596909 11.100000 2.810685
8.596909 11.150000 3.042895
8.596909 11.200000 3.275105
8.596909 11.250000 3.507314
8.596909 11.300000 3.739524
8.596909 11.350000 3.965408
8.596909 11.400000 4.191292
8.596909 11.450000 4.417176
8.596909 11.500000 4.643060
8.596909 11.550000 4.861407
8.596909 11.600000 5.079753
8.596909 11.650000 5.298100
8.596909 11.700000 5.516447
8.596909 11.750000 5.726295
8.547741 11.000000 2.381878
8.547741 11.050000 2.617549
8.547741 11.100000 2.853220
8.547741 11.150000 3.083829
8.547741 11.200000 3.314439
8.547741 11.250000 3.545049
8.547741 11.300000 3.775658
8.547741 11.350000 3.999976
8.547741 11.400000 4.224294
8.547741 11.450000 4.448612
8.547741 11.500000 4.672930
8.547741 11.550000 4.889760
8.547741 11.600000 5.106591
8.547741 11.650000 5.323421
8.547741 11.700000 5.540252
8.547741 11.750000 5.748645
8.547741 11.800000 5.957037
8.498573 11.000000 2.427653
8.498573 11.050000 2.661703
8.498573 11.100000 2.895754
8.498573 11.150000 3.124764
8.498573 11.200000 3.353773
8.498573 11.250000 3.582783
8.498573 11.300000 3.811792
8.498573 11.350000 4.034544
8.498573 11.400000 4.257296
8.498573 11.450000 4.480048
8.498573 11.500000 4.702800
8.498573 11.550000 4.918114
8.498573 11.600000 5.133428
8.498573 11.650000 5.348742
8.498573 11.700000 5.564056
8.498573 11.750000 5.770994
8.498573 11.800000 5.977932
8.449405 11.000000 2.473428
8.449405 11.050000 2.705858
8.449405 11.100000 2.938289
8.449405 11.150000 3.165698
8.449405 11.200000 3.393108
8.449405 11.250000 3.620517
8.449405 11.300000 3.847927
8.449405 11.350000 4.069112
8.449405 11.400000 4.290298
8.449405 11.450000 4.511484
8.449405 11.500000 4.732670
8.449405 11.550000 4.946468
8.449405 11.600000 5.160265
8.449405 11.650000 5.374063
8.449405 11.700000 5.587861
8.449405 11.750000 5.793344
8.449405 11.800000 5.998827
8.400992 11.000000 2.513849
8.400992 11.050000 2.744734
8.400992 11.100000 2.975619
8.400992 11.150000 3.201508
8.400992 11.200000 3.427397
8.400992 11.250000 3.653285
8.400992 11.300000 3.879174
8.400992 11.350000 4.098877
8.400992 11.400000 4.318579
8.400992 11.450000 4.538282
8.400992 11.500000 4.757985
8.400992 11.550000 4.970352
8.400992 11.600000 5.182720
8.400992 11.650000 5.395087
8.400992 11.700000 5.607454
8.400992 11.750000 5.811570
8.400992 11.800000 6.015685
8.400992 11.850000 6.219800
8.352580 11.000000 2.554271
8.352580 11.050000 2.783611
8.352580 11.100000 3.012950
8.352580 11.150000 3.237318
8.352580 11.200000 3.461686
8.352580 11.250000 3.686053
8.352580 11.300000 3.910421
8.352580 11.350000 4.128641
8.352580 11.400000 4.346861
8.352580 11.450000 4.565080
8.352580 11.500000 4.783300
8.352580 11.550000 4.994237
8.352580 11.600000 5.205174
8.352580 11.650000 5.416111
8.352580 11.700000 5.627048
8.352580 11.750000 5.829795
