#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.432467 9.550000 -8.798378
14.432467 9.600000 -8.577088
14.432467 9.650000 -8.355798
14.432467 9.700000 -8.134507
14.432467 9.750000 -7.913378
14.432467 9.800000 -7.692249
14.432467 9.850000 -7.471120
14.432467 9.900000 -7.249991
14.432467 9.950000 -7.029120
14.432467 10.000000 -6.808250
14.432467 10.050000 -6.587380
14.432467 10.100000 -6.366509
14.432467 10.150000 -6.146065
14.352995 8.000000 -17.092626
14.352995 8.050000 -16.122315
14.352995 8.100000 -15.152004
14.352995 8.150000 -14.919806
14.352995 8.200000 -14.687608
14.352995 8.250000 -14.455409
14.352995 8.300000 -14.223211
14.352995 8.350000 -14.002873
14.352995 8.400000 -13.782534
14.352995 8.450000 -13.562196
14.352995 8.500000 -13.341857
14.352995 8.550000 -13.121772
14.352995 8.600000 -12.901688
14.352995 8.650000 -12.681603
14.352995 8.700000 -12.461518
14.352995 8.750000 -12.241477
14.352995 8.800000 -12.021436
14.352995 8.850000 -11.801395
14.352995 8.900000 -11.581354
14.352995 8.950000 -11.361354
14.352995 9.000000 -11.141355
14.352995 9.050000 -10.921356
14.352995 9.100000 -10.701357
14.352995 9.150000 -10.481410
14.352995 9.200000 -10.261463
14.352995 9.250000 -10.041517
14.352995 9.300000 -9.821570
14.352995 9.350000 -9.601702
14.352995 9.400000 -9.381834
14.352995 9.450000 -9.161967
14.352995 9.500000 -8.942099
14.352995 9.550000 -8.722348
14.352995 9.600000 -8.502598
14.352995 9.650000 -8.282847
14.352995 9.700000 -8.063097
14.352995 9.750000 -7.843523
14.352995 9.800000 -7.623949
14.352995 9.850000 -7.404375
14.352995 9.900000 -7.184802
14.352995 9.950000 -6.965509
14.352995 10.000000 -6.746216
14.352995 10.050000 -6.526923
14.352995 10.100000 -6.307630
14.352995 10.150000 -6.088794
14.352995 10.200000 -5.869958
