#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(eta_avg)@log(Mpeak)=12 log10(eta_avg)_16@log(Mpeak)=12 log10(eta_avg)_84@log(Mpeak)=12 log10(eta_avg)@log(Mpeak)=13 log10(eta_avg)_16@log(Mpeak)=13 log10(eta_avg)_84@log(Mpeak)=13 log10(eta_avg)@log(Mpeak)=14 log10(eta_avg)_16@log(Mpeak)=14 log10(eta_avg)_84@log(Mpeak)=14 log10(eta_avg)@log(Mpeak)=15 log10(eta_avg)_16@log(Mpeak)=15 log10(eta_avg)_84@log(Mpeak)=15
7.749140 -0.023192 -0.083369 0.088595 -0.055458 -0.116875 0.058171 -0.085677 -0.149823 0.030930 -0.114659 -0.183492 -0.001706
7.728300 -0.027567 -0.087759 0.084231 -0.059910 -0.121348 0.053710 -0.090168 -0.154286 0.026437 -0.119144 -0.187846 -0.006145
7.707509 -0.031957 -0.092162 0.079851 -0.064375 -0.125831 0.049236 -0.094670 -0.158756 0.021930 -0.123637 -0.192203 -0.010594
7.686768 -0.036347 -0.096565 0.075471 -0.068840 -0.130314 0.044762 -0.099173 -0.163227 0.017423 -0.128130 -0.196560 -0.015042
7.666077 -0.040737 -0.100969 0.071091 -0.073305 -0.134798 0.040288 -0.103676 -0.167697 0.012916 -0.132623 -0.200917 -0.019491
7.645435 -0.045127 -0.105372 0.066710 -0.077770 -0.139281 0.035814 -0.108178 -0.172168 0.008409 -0.137116 -0.205274 -0.023940
7.624842 -0.049517 -0.109775 0.062330 -0.082235 -0.143764 0.031340 -0.112681 -0.176638 0.003902 -0.141609 -0.209631 -0.028388
7.604298 -0.053930 -0.114196 0.057931 -0.086720 -0.148262 0.026845 -0.117198 -0.181119 -0.000623 -0.146109 -0.213992 -0.032842
7.583803 -0.058394 -0.118656 0.053489 -0.091249 -0.152790 0.022307 -0.121748 -0.185622 -0.005187 -0.150625 -0.218361 -0.037305
7.563357 -0.062858 -0.123116 0.049048 -0.095778 -0.157318 0.017769 -0.126298 -0.190125 -0.009751 -0.155141 -0.222731 -0.041768
7.542959 -0.067321 -0.127576 0.044607 -0.100307 -0.161846 0.013231 -0.130847 -0.194629 -0.014315 -0.159656 -0.227100 -0.046231
7.522610 -0.071785 -0.132036 0.040166 -0.104837 -0.166374 0.008692 -0.135397 -0.199132 -0.018879 -0.164172 -0.231470 -0.050694
7.502310 -0.076248 -0.136496 0.035725 -0.109366 -0.170902 0.004154 -0.139947 -0.203635 -0.023443 -0.168688 -0.235839 -0.055157
7.482058 -0.080712 -0.140956 0.031283 -0.113895 -0.175430 -0.000384 -0.144496 -0.208138 -0.028007 -0.173204 -0.240209 -0.059620
7.461854 -0.085227 -0.145459 0.026791 -0.118467 -0.179985 -0.004973 -0.149073 -0.212662 -0.032607 -0.177724 -0.244581 -0.064081
7.441698 -0.089754 -0.149972 0.022288 -0.123048 -0.184547 -0.009572 -0.153656 -0.217191 -0.037215 -0.182245 -0.248954 -0.068540
7.421591 -0.094280 -0.154484 0.017785 -0.127629 -0.189109 -0.014172 -0.158238 -0.221720 -0.041824 -0.186765 -0.253326 -0.073000
7.401531 -0.098807 -0.158997 0.013282 -0.132210 -0.193671 -0.018772 -0.162821 -0.226249 -0.046432 -0.191286 -0.257699 -0.077460
7.381519 -0.103334 -0.163509 0.008779 -0.136791 -0.198233 -0.023371 -0.167403 -0.230777 -0.051040 -0.195807 -0.262072 -0.081919
7.361554 -0.107860 -0.168022 0.004276 -0.141372 -0.202794 -0.027971 -0.171986 -0.235306 -0.055648 -0.200328 -0.266444 -0.086379
7.341638 -0.112384 -0.172531 -0.000224 -0.145944 -0.207349 -0.032567 -0.176554 -0.239825 -0.060245 -0.204829 -0.270807 -0.090832
7.321768 -0.116904 -0.177034 -0.004717 -0.150498 -0.211888 -0.037157 -0.181091 -0.244322 -0.064817 -0.209291 -0.275147 -0.095271
7.301946 -0.121423 -0.181538 -0.009209 -0.155051 -0.216427 -0.041747 -0.185628 -0.248820 -0.069390 -0.213753 -0.279488 -0.099710
7.282171 -0.125943 -0.186041 -0.013702 -0.159605 -0.220966 -0.046337 -0.190164 -0.253317 -0.073963 -0.218215 -0.283829 -0.104149
7.262444 -0.130462 -0.190544 -0.018195 -0.164158 -0.225505 -0.050927 -0.194701 -0.257815 -0.078536 -0.222677 -0.288170 -0.108588
7.242763 -0.134982 -0.195048 -0.022687 -0.168711 -0.230044 -0.055517 -0.199238 -0.262312 -0.083109 -0.227139 -0.292511 -0.113027
7.223129 -0.139501 -0.199551 -0.027180 -0.173265 -0.234582 -0.060106 -0.203775 -0.266810 -0.087682 -0.231601 -0.296852 -0.117466
7.203542 -0.144069 -0.204101 -0.031723 -0.177862 -0.239160 -0.064748 -0.208348 -0.271353 -0.092292 -0.236087 -0.301246 -0.121947
7.184002 -0.148646 -0.208661 -0.036276 -0.182469 -0.243746 -0.069400 -0.212929 -0.275906 -0.096910 -0.240578 -0.305651 -0.126436
7.164508 -0.153224 -0.213221 -0.040830 -0.187075 -0.248331 -0.074051 -0.217510 -0.280459 -0.101528 -0.245069 -0.310055 -0.130925
7.145060 -0.157801 -0.217781 -0.045383 -0.191682 -0.252917 -0.078703 -0.222091 -0.285012 -0.106145 -0.249560 -0.314460 -0.135413
7.125659 -0.162379 -0.222340 -0.049937 -0.196288 -0.257503 -0.083355 -0.226672 -0.289564 -0.110763 -0.254051 -0.318865 -0.139902
7.106304 -0.166956 -0.226900 -0.054490 -0.200895 -0.262088 -0.088007 -0.231253 -0.294117 -0.115381 -0.258542 -0.323270 -0.144391
7.086996 -0.171546 -0.231471 -0.059050 -0.205509 -0.266677 -0.092665 -0.235832 -0.298670 -0.120000 -0.263021 -0.327664 -0.148866
7.067733 -0.176160 -0.236063 -0.063620 -0.210137 -0.271272 -0.097337 -0.240410 -0.303224 -0.124624 -0.267475 -0.332037 -0.153312
7.048516 -0.180774 -0.240656 -0.068191 -0.214766 -0.275868 -0.102008 -0.244988 -0.307777 -0.129247 -0.271929 -0.336410 -0.157758
7.029345 -0.185388 -0.245248 -0.072762 -0.219394 -0.280463 -0.106680 -0.249566 -0.312330 -0.133870 -0.276383 -0.340783 -0.162205
7.010219 -0.190003 -0.249841 -0.077333 -0.224022 -0.285058 -0.111351 -0.254144 -0.316884 -0.138494 -0.280838 -0.345156 -0.166651
6.991139 -0.194617 -0.254433 -0.081904 -0.228651 -0.289654 -0.116023 -0.258722 -0.321437 -0.143117 -0.285292 -0.349528 -0.171097
6.972105 -0.199231 -0.259026 -0.086475 -0.233279 -0.294249 -0.120694 -0.263300 -0.325990 -0.147740 -0.289746 -0.353901 -0.175544
6.953116 -0.203871 -0.263650 -0.091059 -0.237920 -0.298848 -0.125366 -0.267868 -0.330534 -0.152363 -0.294157 -0.358238 -0.179956
6.934172 -0.208516 -0.268280 -0.095646 -0.242564 -0.303447 -0.130037 -0.272434 -0.335076 -0.156985 -0.298559 -0.362567 -0.184361
6.915273 -0.213162 -0.272910 -0.100233 -0.247207 -0.308046 -0.134708 -0.277000 -0.339618 -0.161607 -0.302962 -0.366897 -0.188767
6.896419 -0.217807 -0.277540 -0.104820 -0.251850 -0.312645 -0.139380 -0.281566 -0.344160 -0.166229 -0.307364 -0.371226 -0.193172
6.877610 -0.222452 -0.282170 -0.109407 -0.256493 -0.317244 -0.144051 -0.286132 -0.348701 -0.170852 -0.311767 -0.375556 -0.197578
6.858846 -0.227097 -0.286800 -0.113993 -0.261137 -0.321843 -0.148722 -0.290698 -0.353243 -0.175474 -0.316170 -0.379885 -0.201983
6.840127 -0.231751 -0.291438 -0.118590 -0.265783 -0.326442 -0.153394 -0.295255 -0.357777 -0.180092 -0.320550 -0.384192 -0.206371
6.821452 -0.236423 -0.296088 -0.123204 -0.270433 -0.331040 -0.158066 -0.299798 -0.362296 -0.184701 -0.324888 -0.388455 -0.210726
6.802822 -0.241095 -0.300738 -0.127817 -0.275084 -0.335638 -0.162737 -0.304340 -0.366814 -0.189311 -0.329225 -0.392717 -0.215081
6.784236 -0.245766 -0.305389 -0.132431 -0.279734 -0.340236 -0.167409 -0.308882 -0.371333 -0.193920 -0.333563 -0.396980 -0.219436
6.765694 -0.250438 -0.310039 -0.137045 -0.284385 -0.344835 -0.172081 -0.313424 -0.375852 -0.198529 -0.337901 -0.401242 -0.223791
6.747197 -0.255109 -0.314690 -0.141659 -0.289036 -0.349433 -0.176753 -0.317966 -0.380371 -0.203139 -0.342239 -0.405505 -0.228146
6.728743 -0.259781 -0.319340 -0.146273 -0.293686 -0.354031 -0.181425 -0.322508 -0.384889 -0.207748 -0.346577 -0.409768 -0.232501
6.710334 -0.264334 -0.323854 -0.150785 -0.298185 -0.358465 -0.185959 -0.326876 -0.389227 -0.212201 -0.350737 -0.413841 -0.236704
6.691968 -0.268867 -0.328343 -0.155279 -0.302658 -0.362871 -0.190469 -0.331213 -0.393532 -0.216626 -0.354866 -0.417881 -0.240880
6.673646 -0.273399 -0.332833 -0.159773 -0.307130 -0.367276 -0.194979 -0.335549 -0.397837 -0.221052 -0.358995 -0.421922 -0.245057
6.655368 -0.277931 -0.337323 -0.164267 -0.311603 -0.371682 -0.199489 -0.339886 -0.402143 -0.225477 -0.363124 -0.425962 -0.249233
6.637133 -0.282464 -0.341812 -0.168761 -0.316075 -0.376087 -0.203999 -0.344223 -0.406448 -0.229902 -0.367253 -0.430002 -0.253410
6.618942 -0.286996 -0.346302 -0.173255 -0.320548 -0.380493 -0.208509 -0.348560 -0.410754 -0.234328 -0.371382 -0.434042 -0.257586
6.600794 -0.291582 -0.350847 -0.177800 -0.325081 -0.384961 -0.213076 -0.352959 -0.415119 -0.238810 -0.375570 -0.438161 -0.261828
6.582689 -0.296264 -0.355490 -0.182436 -0.329726 -0.389544 -0.217748 -0.357473 -0.419594 -0.243395 -0.379865 -0.442420 -0.266190
6.564628 -0.300946 -0.360134 -0.187072 -0.334370 -0.394126 -0.222420 -0.361986 -0.424069 -0.247981 -0.384160 -0.446679 -0.270552
6.546609 -0.305628 -0.364777 -0.191709 -0.339015 -0.398708 -0.227092 -0.366500 -0.428544 -0.252566 -0.388455 -0.450939 -0.274913
6.528634 -0.310309 -0.369421 -0.196345 -0.343659 -0.403290 -0.231765 -0.371013 -0.433018 -0.257152 -0.392750 -0.455198 -0.279275
6.510701 -0.314991 -0.374065 -0.200981 -0.348304 -0.407873 -0.236437 -0.375527 -0.437493 -0.261737 -0.397045 -0.459458 -0.283637
6.492811 -0.319673 -0.378708 -0.205618 -0.352948 -0.412455 -0.241109 -0.380040 -0.441968 -0.266322 -0.401339 -0.463717 -0.287998
6.474963 -0.324370 -0.383359 -0.210270 -0.357592 -0.417031 -0.245781 -0.384526 -0.446407 -0.270878 -0.405567 -0.467913 -0.292289
6.457158 -0.329068 -0.388011 -0.214924 -0.362236 -0.421606 -0.250453 -0.389008 -0.450841 -0.275428 -0.409784 -0.472099 -0.296569
6.439396 -0.333767 -0.392663 -0.219579 -0.366880 -0.426180 -0.255125 -0.393489 -0.455275 -0.279979 -0.414001 -0.476285 -0.300849
6.421675 -0.338466 -0.397314 -0.224233 -0.371524 -0.430755 -0.259797 -0.397971 -0.459709 -0.284529 -0.418218 -0.480471 -0.305128
6.403997 -0.343164 -0.401966 -0.228888 -0.376168 -0.435330 -0.264469 -0.402452 -0.464143 -0.289079 -0.422435 -0.484657 -0.309408
6.386361 -0.347863 -0.406618 -0.233542 -0.380812 -0.439905 -0.269141 -0.406934 -0.468577 -0.293630 -0.426652 -0.488843 -0.313688
6.368767 -0.352559 -0.411264 -0.238194 -0.385444 -0.444465 -0.273800 -0.411389 -0.472981 -0.298156 -0.430824 -0.492989 -0.317922
6.351215 -0.357249 -0.415898 -0.242842 -0.390055 -0.448999 -0.278439 -0.415799 -0.477333 -0.302639 -0.434916 -0.497067 -0.322078
6.333705 -0.361940 -0.420533 -0.247489 -0.394666 -0.453533 -0.283078 -0.420209 -0.481685 -0.307122 -0.439008 -0.501144 -0.326234
6.316237 -0.366631 -0.425168 -0.252137 -0.399277 -0.458067 -0.287717 -0.424619 -0.486037 -0.311606 -0.443100 -0.505222 -0.330390
6.298810 -0.371321 -0.429803 -0.256785 -0.403887 -0.462601 -0.292356 -0.429029 -0.490389 -0.316089 -0.447192 -0.509299 -0.334545
6.281424 -0.376012 -0.434437 -0.261433 -0.408498 -0.467135 -0.296994 -0.433438 -0.494741 -0.320573 -0.451285 -0.513377 -0.338701
6.264080 -0.380703 -0.439072 -0.266080 -0.413109 -0.471669 -0.301633 -0.437848 -0.499093 -0.325056 -0.455377 -0.517455 -0.342857
6.246778 -0.385304 -0.443610 -0.270661 -0.417601 -0.476083 -0.306161 -0.442108 -0.503282 -0.329395 -0.459301 -0.521346 -0.346868
6.229516 -0.389893 -0.448133 -0.275231 -0.422075 -0.480478 -0.310673 -0.446345 -0.507445 -0.333712 -0.463200 -0.525211 -0.350857
6.212296 -0.394481 -0.452656 -0.279802 -0.426549 -0.484874 -0.315185 -0.450583 -0.511609 -0.338029 -0.467100 -0.529075 -0.354846
6.195117 -0.399070 -0.457179 -0.284372 -0.431023 -0.489270 -0.319697 -0.454820 -0.515773 -0.342347 -0.470999 -0.532939 -0.358835
6.177978 -0.403659 -0.461702 -0.288943 -0.435498 -0.493665 -0.324209 -0.459058 -0.519937 -0.346664 -0.474898 -0.536803 -0.362824
6.160881 -0.408247 -0.466225 -0.293513 -0.439972 -0.498061 -0.328720 -0.463295 -0.524101 -0.350981 -0.478798 -0.540668 -0.366813
