#Average star formation rate (SFR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SFR)[Msun]
8.950368 11.500000 2.115731
8.950368 11.550000 2.200108
8.950368 11.600000 2.284485
8.950368 11.650000 2.368861
8.898861 11.000000 1.275093
8.898861 11.050000 1.359227
8.898861 11.100000 1.443362
8.898861 11.150000 1.527482
8.898861 11.200000 1.611602
8.898861 11.250000 1.695723
8.898861 11.300000 1.779843
8.898861 11.350000 1.863946
8.898861 11.400000 1.948049
8.898861 11.450000 2.032152
8.898861 11.500000 2.116256
8.898861 11.550000 2.200338
8.898861 11.600000 2.284420
8.898861 11.650000 2.368502
8.898861 11.700000 2.452585
8.848146 11.000000 1.277643
8.848146 11.050000 1.361507
8.848146 11.100000 1.445371
8.848146 11.150000 1.529220
8.848146 11.200000 1.613070
8.848146 11.250000 1.696919
8.848146 11.300000 1.780768
8.848146 11.350000 1.864600
8.848146 11.400000 1.948432
8.848146 11.450000 2.032264
8.848146 11.500000 2.116096
8.848146 11.550000 2.199907
8.848146 11.600000 2.283718
8.848146 11.650000 2.367528
8.848146 11.700000 2.451339
8.797431 11.000000 1.280194
8.797431 11.050000 1.363787
8.797431 11.100000 1.447380
8.797431 11.150000 1.530959
8.797431 11.200000 1.614537
8.797431 11.250000 1.698116
8.797431 11.300000 1.781694
8.797431 11.350000 1.865255
8.797431 11.400000 1.948815
8.797431 11.450000 2.032376
8.797431 11.500000 2.115937
8.797431 11.550000 2.199476
8.797431 11.600000 2.283015
8.797431 11.650000 2.366554
8.797431 11.700000 2.450093
8.746716 11.000000 1.282745
8.746716 11.050000 1.366067
8.746716 11.100000 1.449390
8.746716 11.150000 1.532697
8.746716 11.200000 1.616005
8.746716 11.250000 1.699312
8.746716 11.300000 1.782620
8.746716 11.350000 1.865909
8.746716 11.400000 1.949199
8.746716 11.450000 2.032488
8.746716 11.500000 2.115778
8.746716 11.550000 2.199045
8.746716 11.600000 2.282313
8.746716 11.650000 2.365580
8.746716 11.700000 2.448848
8.696780 11.000000 1.284414
8.696780 11.050000 1.367488
8.696780 11.100000 1.450562
8.696780 11.150000 1.533621
8.696780 11.200000 1.616680
8.696780 11.250000 1.699738
8.696780 11.300000 1.782797
8.696780 11.350000 1.865838
8.696780 11.400000 1.948879
8.696780 11.450000 2.031919
8.696780 11.500000 2.114960
8.696780 11.550000 2.197978
8.696780 11.600000 2.280996
8.696780 11.650000 2.364014
8.696780 11.700000 2.447033
8.696780 11.750000 2.530021
8.646845 11.000000 1.286083
8.646845 11.050000 1.368909
8.646845 11.100000 1.451734
8.646845 11.150000 1.534544
8.646845 11.200000 1.617355
8.646845 11.250000 1.700165
8.646845 11.300000 1.782975
8.646845 11.350000 1.865767
8.646845 11.400000 1.948559
8.646845 11.450000 2.031350
8.646845 11.500000 2.114142
8.646845 11.550000 2.196911
8.646845 11.600000 2.279680
8.646845 11.650000 2.362449
8.646845 11.700000 2.445218
8.646845 11.750000 2.527957
8.596909 11.000000 1.287752
8.596909 11.050000 1.370329
8.596909 11.100000 1.452906
8.596909 11.150000 1.535468
8.596909 11.200000 1.618030
8.596909 11.250000 1.700591
8.596909 11.300000 1.783153
8.596909 11.350000 1.865696
8.596909 11.400000 1.948239
8.596909 11.450000 2.030781
8.596909 11.500000 2.113324
8.596909 11.550000 2.195844
8.596909 11.600000 2.278364
8.596909 11.650000 2.360883
8.596909 11.700000 2.443403
8.596909 11.750000 2.525892
8.547741 11.000000 1.288570
8.547741 11.050000 1.370920
8.547741 11.100000 1.453271
8.547741 11.150000 1.535606
8.547741 11.200000 1.617941
8.547741 11.250000 1.700275
8.547741 11.300000 1.782610
8.547741 11.350000 1.864926
8.547741 11.400000 1.947242
8.547741 11.450000 2.029558
8.547741 11.500000 2.111874
8.547741 11.550000 2.194166
8.547741 11.600000 2.276458
8.547741 11.650000 2.358750
8.547741 11.700000 2.441042
8.547741 11.750000 2.523303
8.547741 11.800000 2.605563
8.498573 11.000000 1.289387
8.498573 11.050000 1.371511
8.498573 11.100000 1.453635
8.498573 11.150000 1.535743
8.498573 11.200000 1.617851
8.498573 11.250000 1.699960
8.498573 11.300000 1.782068
8.498573 11.350000 1.864157
8.498573 11.400000 1.946245
8.498573 11.450000 2.028334
8.498573 11.500000 2.110423
8.498573 11.550000 2.192488
8.498573 11.600000 2.274552
8.498573 11.650000 2.356617
8.498573 11.700000 2.438682
8.498573 11.750000 2.520714
8.498573 11.800000 2.602746
8.449405 11.000000 1.290204
8.449405 11.050000 1.372102
8.449405 11.100000 1.454000
8.449405 11.150000 1.535881
8.449405 11.200000 1.617762
8.449405 11.250000 1.699644
8.449405 11.300000 1.781525
8.449405 11.350000 1.863387
8.449405 11.400000 1.945249
8.449405 11.450000 2.027110
8.449405 11.500000 2.108972
8.449405 11.550000 2.190809
8.449405 11.600000 2.272647
8.449405 11.650000 2.354484
8.449405 11.700000 2.436321
8.449405 11.750000 2.518125
8.449405 11.800000 2.599929
8.400992 11.000000 1.290201
8.400992 11.050000 1.371893
8.400992 11.100000 1.453585
8.400992 11.150000 1.535262
8.400992 11.200000 1.616938
8.400992 11.250000 1.698614
8.400992 11.300000 1.780290
8.400992 11.350000 1.861946
8.400992 11.400000 1.943602
8.400992 11.450000 2.025258
8.400992 11.500000 2.106914
8.400992 11.550000 2.188545
8.400992 11.600000 2.270176
8.400992 11.650000 2.351807
8.400992 11.700000 2.433438
8.400992 11.750000 2.515035
8.400992 11.800000 2.596632
8.400992 11.850000 2.678229
8.352580 11.000000 1.290197
8.352580 11.050000 1.371684
8.352580 11.100000 1.453171
8.352580 11.150000 1.534642
8.352580 11.200000 1.616113
8.352580 11.250000 1.697584
8.352580 11.300000 1.779054
8.352580 11.350000 1.860505
8.352580 11.400000 1.941955
8.352580 11.450000 2.023406
8.352580 11.500000 2.104856
8.352580 11.550000 2.186281
8.352580 11.600000 2.267706
8.352580 11.650000 2.349131
8.352580 11.700000 2.430556
8.352580 11.750000 2.511945
8.352580 11.800000 2.593335
8.352580 11.850000 2.674725
8.304168 11.000000 1.290193
8.304168 11.050000 1.371475
8.304168 11.100000 1.452757
8.304168 11.150000 1.534023
8.304168 11.200000 1.615288
8.304168 11.250000 1.696553
8.304168 11.300000 1.777819
8.304168 11.350000 1.859064
8.304168 11.400000 1.940308
8.304168 11.450000 2.021553
8.304168 11.500000 2.102798
8.304168 11.550000 2.184017
8.304168 11.600000 2.265235
8.304168 11.650000 2.346454
8.304168 11.700000 2.427673
8.304168 11.750000 2.508856
8.304168 11.800000 2.590038
8.304168 11.850000 2.671221
8.256499 11.000000 1.289398
8.256499 11.050000 1.370496
8.256499 11.100000 1.451594
8.256499 11.150000 1.532675
8.256499 11.200000 1.613756
8.256499 11.250000 1.694837
8.256499 11.300000 1.775918
8.256499 11.350000 1.856978
8.256499 11.400000 1.938038
8.256499 11.450000 2.019098
8.256499 11.500000 2.100158
8.256499 11.550000 2.181191
8.256499 11.600000 2.262225
8.256499 11.650000 2.343258
8.256499 11.700000 2.424292
8.256499 11.750000 2.505288
8.256499 11.800000 2.586284
8.256499 11.850000 2.667281
8.208831 11.000000 1.288603
8.208831 11.050000 1.369517
8.208831 11.100000 1.450431
8.208831 11.150000 1.531327
8.208831 11.200000 1.612224
8.208831 11.250000 1.693120
8.208831 11.300000 1.774017
8.208831 11.350000 1.854892
8.208831 11.400000 1.935767
8.208831 11.450000 2.016643
8.208831 11.500000 2.097518
8.208831 11.550000 2.178366
8.208831 11.600000 2.259214
8.208831 11.650000 2.340062
8.208831 11.700000 2.420910
8.208831 11.750000 2.501721
8.208831 11.800000 2.582531
8.208831 11.850000 2.663341
8.208831 11.900000 2.744151
8.161163 11.000000 1.287808
8.161163 11.050000 1.368538
8.161163 11.100000 1.449268
8.161163 11.150000 1.529980
8.161163 11.200000 1.610692
8.161163 11.250000 1.691404
8.161163 11.300000 1.772116
8.161163 11.350000 1.852807
8.161163 11.400000 1.933497
8.161163 11.450000 2.014187
8.161163 11.500000 2.094878
8.161163 11.550000 2.175541
8.161163 11.600000 2.256204
8.161163 11.650000 2.336866
8.161163 11.700000 2.417529
8.161163 11.750000 2.498153
8.161163 11.800000 2.578777
8.161163 11.850000 2.659400
8.161163 11.900000 2.740024
8.114227 11.000000 1.286252
8.114227 11.050000 1.366818
8.114227 11.100000 1.447384
