#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.432467 8.000000 -44.121781
14.432467 8.050000 -44.121781
14.432467 8.100000 -44.121781
14.432467 8.150000 -44.121781
14.432467 8.200000 -44.121781
14.432467 8.250000 -44.121781
14.432467 8.300000 -44.121781
14.432467 8.350000 -44.121781
14.432467 8.400000 -44.121781
14.432467 8.450000 -44.121781
14.432467 8.500000 -44.121781
14.432467 8.550000 -44.080676
14.432467 8.600000 -44.039570
14.432467 8.650000 -43.998465
14.432467 8.700000 -43.957360
14.432467 8.750000 -43.495814
14.432467 8.800000 -43.034268
14.432467 8.850000 -42.572722
14.432467 8.900000 -42.111176
14.432467 8.950000 -41.512203
14.432467 9.000000 -40.913230
14.432467 9.050000 -40.314257
14.432467 9.100000 -39.715284
14.432467 9.150000 -39.116950
14.432467 9.200000 -38.518617
14.432467 9.250000 -37.920284
14.432467 9.300000 -37.321950
14.432467 9.350000 -36.723723
14.432467 9.400000 -36.125496
14.432467 9.450000 -35.527270
14.432467 9.500000 -34.929043
14.432467 9.550000 -34.330971
14.432467 9.600000 -33.732900
14.432467 9.650000 -33.134829
14.432467 9.700000 -32.536758
14.432467 9.750000 -31.938899
14.432467 9.800000 -31.341041
14.432467 9.850000 -30.743182
14.432467 9.900000 -30.145324
14.432467 9.950000 -29.547766
14.432467 10.000000 -28.950208
14.432467 10.050000 -28.352650
14.432467 10.100000 -27.755092
14.432467 10.150000 -27.157952
14.352995 8.000000 -43.954618
14.352995 8.050000 -43.954618
14.352995 8.100000 -43.954618
14.352995 8.150000 -43.954618
14.352995 8.200000 -43.954618
14.352995 8.250000 -43.954618
14.352995 8.300000 -43.954618
14.352995 8.350000 -43.954618
14.352995 8.400000 -43.954618
14.352995 8.450000 -43.954618
14.352995 8.500000 -43.954618
14.352995 8.550000 -43.872407
14.352995 8.600000 -43.790196
14.352995 8.650000 -43.707986
14.352995 8.700000 -43.625775
14.352995 8.750000 -43.095663
14.352995 8.800000 -42.565551
14.352995 8.850000 -42.035438
14.352995 8.900000 -41.505326
14.352995 8.950000 -40.913210
14.352995 9.000000 -40.321095
