#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.950368 11.400000 0.239297
8.950368 11.450000 0.235914
8.950368 11.500000 0.232531
8.950368 11.550000 0.229474
8.950368 11.600000 0.226417
8.950368 11.650000 0.223360
8.898861 11.000000 0.261598
8.898861 11.050000 0.258098
8.898861 11.100000 0.254597
8.898861 11.150000 0.251081
8.898861 11.200000 0.247565
8.898861 11.250000 0.244049
8.898861 11.300000 0.240533
8.898861 11.350000 0.237125
8.898861 11.400000 0.233718
8.898861 11.450000 0.230311
8.898861 11.500000 0.226903
8.898861 11.550000 0.223791
8.898861 11.600000 0.220680
8.898861 11.650000 0.217568
8.898861 11.700000 0.214456
8.848146 11.000000 0.253133
8.848146 11.050000 0.249601
8.848146 11.100000 0.246069
8.848146 11.150000 0.242515
8.848146 11.200000 0.238960
8.848146 11.250000 0.235405
8.848146 11.300000 0.231850
8.848146 11.350000 0.228395
8.848146 11.400000 0.224940
8.848146 11.450000 0.221484
8.848146 11.500000 0.218029
8.848146 11.550000 0.214858
8.848146 11.600000 0.211687
8.848146 11.650000 0.208515
8.848146 11.700000 0.205344
8.797431 11.000000 0.244668
8.797431 11.050000 0.241105
8.797431 11.100000 0.237541
8.797431 11.150000 0.233948
8.797431 11.200000 0.230355
8.797431 11.250000 0.226761
8.797431 11.300000 0.223168
8.797431 11.350000 0.219664
8.797431 11.400000 0.216161
8.797431 11.450000 0.212658
8.797431 11.500000 0.209155
8.797431 11.550000 0.205924
8.797431 11.600000 0.202694
8.797431 11.650000 0.199463
8.797431 11.700000 0.196232
8.746716 11.000000 0.236203
8.746716 11.050000 0.232608
8.746716 11.100000 0.229013
8.746716 11.150000 0.225381
8.746716 11.200000 0.221749
8.746716 11.250000 0.218117
8.746716 11.300000 0.214485
8.746716 11.350000 0.210934
8.746716 11.400000 0.207383
8.746716 11.450000 0.203832
8.746716 11.500000 0.200281
8.746716 11.550000 0.196991
8.746716 11.600000 0.193701
8.746716 11.650000 0.190411
8.746716 11.700000 0.187121
8.696780 11.000000 0.226073
8.696780 11.050000 0.222443
8.696780 11.100000 0.218812
8.696780 11.150000 0.215151
8.696780 11.200000 0.211490
8.696780 11.250000 0.207829
8.696780 11.300000 0.204167
8.696780 11.350000 0.200596
8.696780 11.400000 0.197025
8.696780 11.450000 0.193453
8.696780 11.500000 0.189882
8.696780 11.550000 0.186583
8.696780 11.600000 0.183284
8.696780 11.650000 0.179985
8.696780 11.700000 0.176687
8.696780 11.750000 0.173883
8.646845 11.000000 0.215943
8.646845 11.050000 0.212277
8.646845 11.100000 0.208611
8.646845 11.150000 0.204921
8.646845 11.200000 0.201230
8.646845 11.250000 0.197540
8.646845 11.300000 0.193849
8.646845 11.350000 0.190258
8.646845 11.400000 0.186666
8.646845 11.450000 0.183075
8.646845 11.500000 0.179483
8.646845 11.550000 0.176176
