#Average black hole accretion rate (BHAR) to average star formation rate (SFR) ratio as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR/SFR)@log(Mpeak)=12 log10(BHAR/SFR)_16@log(Mpeak)=12 log10(BHAR/SFR)_84@log(Mpeak)=12 log10(BHAR/SFR)@log(Mpeak)=13 log10(BHAR/SFR)_16@log(Mpeak)=13 log10(BHAR/SFR)_84@log(Mpeak)=13 log10(BHAR/SFR)@log(Mpeak)=14 log10(BHAR/SFR)_16@log(Mpeak)=14 log10(BHAR/SFR)_84@log(Mpeak)=14 log10(BHAR/SFR)@log(Mpeak)=15 log10(BHAR/SFR)_16@log(Mpeak)=15 log10(BHAR/SFR)_84@log(Mpeak)=15
8.786859 -13.565684 -14.825630 -12.678355 -11.623613 -12.652630 -10.887629 -9.997080 -10.846458 -9.373765 -8.567669 -9.285516 -8.057439
8.763547 -13.490235 -14.739607 -12.610657 -11.555356 -12.575371 -10.826467 -9.934952 -10.776757 -9.318184 -8.511215 -9.221808 -8.006468
8.740291 -13.415903 -14.654870 -12.543950 -11.488125 -12.499256 -10.766211 -9.873772 -10.708157 -9.263434 -8.455652 -9.159111 -7.956300
8.717090 -13.344495 -14.573495 -12.479831 -11.423576 -12.426135 -10.708325 -9.815074 -10.642436 -9.210859 -8.402420 -9.099059 -7.908234
8.693944 -13.273088 -14.492120 -12.415713 -11.359028 -12.353013 -10.650439 -9.756376 -10.576715 -9.158283 -8.349188 -9.039007 -7.860168
8.670854 -13.201680 -14.410745 -12.351595 -11.294480 -12.279892 -10.592554 -9.697677 -10.510994 -9.105707 -8.295955 -8.978955 -7.812102
8.647818 -13.130272 -14.329370 -12.287477 -11.229931 -12.206770 -10.534668 -9.638979 -10.445273 -9.053132 -8.242723 -8.918903 -7.764036
8.624837 -13.058864 -14.247995 -12.223359 -11.165383 -12.133649 -10.476782 -9.580281 -10.379552 -9.000556 -8.189491 -8.858851 -7.715970
8.601912 -12.987457 -14.166620 -12.159241 -11.100835 -12.060527 -10.418896 -9.521582 -10.313832 -8.947980 -8.136259 -8.798799 -7.667904
8.579040 -12.919075 -14.088743 -12.097888 -11.039083 -11.990620 -10.363480 -9.465505 -10.251079 -8.897665 -8.085496 -8.741454 -7.622047
8.556224 -12.851539 -14.011844 -12.037308 -10.978112 -11.921611 -10.308754 -9.410161 -10.189157 -8.847981 -8.035424 -8.684865 -7.576808
8.533461 -12.784004 -13.934944 -11.976727 -10.917142 -11.852603 -10.254028 -9.354817 -10.127235 -8.798298 -7.985353 -8.628276 -7.531569
8.510753 -12.716468 -13.858045 -11.916147 -10.856172 -11.783594 -10.199302 -9.299473 -10.065313 -8.748615 -7.935281 -8.571687 -7.486329
8.488099 -12.648932 -13.781146 -11.855567 -10.795202 -11.714586 -10.144576 -9.244129 -10.003391 -8.698931 -7.885209 -8.515098 -7.441090
8.465499 -12.581396 -13.704247 -11.794987 -10.734232 -11.645577 -10.089851 -9.188785 -9.941469 -8.649248 -7.835137 -8.458510 -7.395851
8.442952 -12.514905 -13.628553 -11.735356 -10.674225 -11.577683 -10.035955 -9.134343 -9.880516 -8.600341 -7.785912 -8.402882 -7.351368
8.420460 -12.451017 -13.555864 -11.678089 -10.616618 -11.512566 -9.984126 -9.082147 -9.821978 -8.553372 -7.738799 -8.349647 -7.308772
8.398021 -12.387129 -13.483176 -11.620821 -10.559010 -11.447448 -9.932297 -9.029951 -9.763440 -8.506402 -7.691685 -8.296413 -7.266176
8.375635 -12.323240 -13.410487 -11.563554 -10.501403 -11.382331 -9.880468 -8.977755 -9.704902 -8.459432 -7.644571 -8.243179 -7.223580
8.353303 -12.259352 -13.337798 -11.506287 -10.443796 -11.317213 -9.828639 -8.925559 -9.646364 -8.412462 -7.597457 -8.189944 -7.180983
8.331024 -12.195464 -13.265109 -11.449019 -10.386189 -11.252095 -9.776811 -8.873363 -9.587826 -8.365492 -7.550344 -8.136710 -7.138387
8.308798 -12.131575 -13.192420 -11.391752 -10.328582 -11.186978 -9.724982 -8.821167 -9.529288 -8.318522 -7.503230 -8.083476 -7.095791
8.286624 -12.070405 -13.122865 -11.336916 -10.273485 -11.124642 -9.675251 -8.771310 -9.473299 -8.273545 -7.458299 -8.032775 -7.055058
8.264504 -12.009951 -13.054136 -11.282721 -10.219051 -11.063040 -9.626073 -8.722070 -9.417982 -8.229094 -7.413944 -7.982741 -7.014816
8.242437 -11.949496 -12.985406 -11.228526 -10.164616 -11.001437 -9.576895 -8.672829 -9.362665 -8.184643 -7.369588 -7.932708 -6.974574
8.220422 -11.889042 -12.916677 -11.174331 -10.110181 -10.939835 -9.527717 -8.623588 -9.307348 -8.140191 -7.325233 -7.882675 -6.934331
8.198459 -11.828588 -12.847948 -11.120136 -10.055747 -10.878232 -9.478539 -8.574347 -9.252030 -8.095740 -7.280877 -7.832641 -6.894089
8.176549 -11.768134 -12.779218 -11.065941 -10.001312 -10.816630 -9.429361 -8.525107 -9.196713 -8.051288 -7.236522 -7.782608 -6.853847
8.154691 -11.708739 -12.711714 -11.012616 -9.947881 -10.756156 -9.381056 -8.476818 -9.142456 -8.007631 -7.193084 -7.733626 -6.814379
8.132885 -11.651860 -12.647116 -10.961358 -9.896831 -10.698360 -9.334822 -8.430789 -9.090718 -7.965858 -7.151825 -7.687139 -6.776747
8.111131 -11.594980 -12.582519 -10.910100 -9.845782 -10.640564 -9.288588 -8.384759 -9.038979 -7.924085 -7.110566 -7.640653 -6.739116
8.089428 -11.538100 -12.517922 -10.858842 -9.794733 -10.582769 -9.242354 -8.338730 -8.987240 -7.882312 -7.069307 -7.594166 -6.701484
8.067778 -11.481221 -12.453325 -10.807584 -9.743683 -10.524973 -9.196121 -8.292701 -8.935501 -7.840539 -7.028048 -7.547679 -6.663853
8.046179 -11.424341 -12.388728 -10.756326 -9.692634 -10.467177 -9.149887 -8.246672 -8.883763 -7.798766 -6.986789 -7.501193 -6.626221
8.024631 -11.367462 -12.324131 -10.705068 -9.641585 -10.409381 -9.103653 -8.200643 -8.832024 -7.756993 -6.945531 -7.454706 -6.588590
