#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.530036 8.800000 -40.448382
14.530036 8.850000 -40.161908
14.530036 8.900000 -39.605801
14.530036 8.950000 -39.049694
14.530036 9.000000 -38.539921
14.530036 9.050000 -38.030148
14.530036 9.100000 -37.521816
14.530036 9.150000 -37.013483
14.530036 9.200000 -36.505165
14.530036 9.250000 -35.996846
14.530036 9.300000 -35.488522
14.530036 9.350000 -34.980198
14.530036 9.400000 -34.471874
14.530036 9.450000 -33.963549
14.530036 9.500000 -33.455231
14.530036 9.550000 -32.946912
14.530036 9.600000 -32.438606
14.530036 9.650000 -31.930300
14.530036 9.700000 -31.422008
14.530036 9.750000 -30.913717
14.530036 9.800000 -30.405442
14.530036 9.850000 -29.897168
14.530036 9.900000 -29.388919
14.530036 9.950000 -28.880669
14.530036 10.000000 -28.372456
14.530036 10.050000 -27.864243
14.530036 10.100000 -27.356080
14.530036 10.150000 -26.847916
14.478847 8.000000 -40.627409
14.478847 8.050000 -40.627635
14.478847 8.100000 -40.627949
14.478847 8.150000 -40.628263
14.478847 8.200000 -40.628694
14.478847 8.250000 -40.629125
14.478847 8.300000 -40.629712
14.478847 8.350000 -40.630298
14.478847 8.400000 -40.631090
14.478847 8.450000 -40.631883
14.478847 8.500000 -40.632950
14.478847 8.550000 -40.634017
14.478847 8.600000 -40.635448
14.478847 8.650000 -40.636880
14.478847 8.700000 -40.567689
14.478847 8.750000 -40.498498
14.478847 8.800000 -40.120279
14.478847 8.850000 -39.742059
14.478847 8.900000 -39.204616
14.478847 8.950000 -38.667172
14.478847 9.000000 -38.161247
14.478847 9.050000 -37.655322
14.478847 9.100000 -37.150360
14.478847 9.150000 -36.645399
14.478847 9.200000 -36.140441
14.478847 9.250000 -35.635483
14.478847 9.300000 -35.130516
14.478847 9.350000 -34.625549
14.478847 9.400000 -34.120579
