#The average black hole Eddington ratio (eta) as a function of redshift and black hole mass from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh) log10(eta)
5.000000 9.300000 -0.642625
6.000000 5.000000 -0.231777
6.000000 5.100000 -0.237261
6.000000 5.200000 -0.242885
6.000000 5.300000 -0.247673
6.000000 5.400000 -0.250759
6.000000 5.500000 -0.251963
6.000000 5.600000 -0.252027
6.000000 5.700000 -0.252175
6.000000 5.800000 -0.253290
6.000000 5.900000 -0.255350
6.000000 6.000000 -0.257551
6.000000 6.100000 -0.258982
6.000000 6.200000 -0.259368
6.000000 6.300000 -0.259258
6.000000 6.400000 -0.259529
6.000000 6.500000 -0.260656
6.000000 6.600000 -0.262373
6.000000 6.700000 -0.263933
6.000000 6.800000 -0.264748
6.000000 6.900000 -0.264868
6.000000 7.000000 -0.264896
6.000000 7.100000 -0.265437
6.000000 7.200000 -0.266605
6.000000 7.300000 -0.267978
6.000000 7.400000 -0.269008
6.000000 7.500000 -0.269506
6.000000 7.600000 -0.269792
6.000000 7.700000 -0.270384
6.000000 7.800000 -0.271555
6.000000 7.900000 -0.273157
6.000000 8.000000 -0.274825
6.000000 8.100000 -0.276349
6.000000 8.200000 -0.277888
6.000000 8.300000 -0.279841
6.000000 8.400000 -0.282535
6.000000 8.500000 -0.286032
6.000000 8.600000 -0.290185
6.000000 8.700000 -0.294864
6.000000 8.800000 -0.300142
7.000000 5.000000 -0.039665
7.000000 5.100000 -0.040065
7.000000 5.200000 -0.038752
7.000000 5.300000 -0.036451
7.000000 5.400000 -0.034500
7.000000 5.500000 -0.034242
7.000000 5.600000 -0.036271
7.000000 5.700000 -0.040031
7.000000 5.800000 -0.044070
7.000000 5.900000 -0.046883
7.000000 6.000000 -0.047883
7.000000 6.100000 -0.047765
7.000000 6.200000 -0.047923
7.000000 6.300000 -0.049423
7.000000 6.400000 -0.052320
7.000000 6.500000 -0.055693
7.000000 6.600000 -0.058307
7.000000 6.700000 -0.059487
7.000000 6.800000 -0.059603
7.000000 6.900000 -0.059724
7.000000 7.000000 -0.060772
7.000000 7.100000 -0.062895
7.000000 7.200000 -0.065419
7.000000 7.300000 -0.067386
7.000000 7.400000 -0.068268
7.000000 7.500000 -0.068360
7.000000 7.600000 -0.068489
7.000000 7.700000 -0.069335
7.000000 7.800000 -0.070949
7.000000 7.900000 -0.072779
8.000000 5.000000 0.210122
8.000000 5.100000 0.202751
8.000000 5.200000 0.193803
8.000000 5.300000 0.184216
8.000000 5.400000 0.175629
8.000000 5.500000 0.169873
8.000000 5.600000 0.167916
8.000000 5.700000 0.168991
8.000000 5.800000 0.170877
8.000000 5.900000 0.171228
8.000000 6.000000 0.168829
8.000000 6.100000 0.164038
8.000000 6.200000 0.158481
8.000000 6.300000 0.154217
8.000000 6.400000 0.152571
8.000000 6.500000 0.153264
8.000000 6.600000 0.154621
8.000000 6.700000 0.154758
9.000000 5.000000 0.346284
9.000000 5.100000 0.358231
9.000000 5.200000 0.369250
9.000000 5.300000 0.376862
9.000000 5.400000 0.379336
9.000000 5.500000 0.376329
9.000000 5.600000 0.368969
9.000000 5.700000 0.359617
9.000000 5.800000 0.351373
9.000000 5.900000 0.347095
9.000000 6.000000 0.347900
10.000000 5.000000 0.533876
10.000000 5.100000 0.527119
10.000000 5.200000 0.524110
