#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
9.105692 11.050000 -5.033026
9.105692 11.100000 -4.945723
9.105692 11.150000 -4.730562
9.105692 11.200000 -4.587332
9.105692 11.250000 -4.479806
9.105692 11.300000 -4.393689
9.105692 11.350000 -4.187596
9.105692 11.400000 -4.048399
9.105692 11.450000 -3.943153
9.105692 11.500000 -3.858503
9.105692 11.550000 -3.663215
9.105692 11.600000 -3.528987
9.053381 11.000000 -5.141861
9.053381 11.050000 -5.032711
9.053381 11.100000 -4.945557
9.053381 11.150000 -4.731314
9.053381 11.200000 -4.588487
9.053381 11.250000 -4.481187
9.053381 11.300000 -4.395215
9.053381 11.350000 -4.189958
9.053381 11.400000 -4.051139
9.053381 11.450000 -3.946109
9.053381 11.500000 -3.861598
9.053381 11.550000 -3.667050
9.053381 11.600000 -3.533170
9.053381 11.650000 -3.430982
9.001875 11.000000 -5.139161
9.001875 11.050000 -5.030281
9.001875 11.100000 -4.943299
9.001875 11.150000 -4.730153
9.001875 11.200000 -4.587809
9.001875 11.250000 -4.480781
9.001875 11.300000 -4.394984
9.001875 11.350000 -4.190767
9.001875 11.400000 -4.052421
9.001875 11.450000 -3.947660
9.001875 11.500000 -3.863323
9.001875 11.550000 -3.669728
9.001875 11.600000 -3.536295
9.001875 11.650000 -3.434367
8.950368 11.000000 -5.136478
8.950368 11.050000 -5.027865
8.950368 11.100000 -4.941052
8.950368 11.150000 -4.728996
8.950368 11.200000 -4.587133
8.950368 11.250000 -4.480376
8.950368 11.300000 -4.394752
8.950368 11.350000 -4.191579
8.950368 11.400000 -4.053707
8.950368 11.450000 -3.949217
8.950368 11.500000 -3.865056
8.950368 11.550000 -3.672423
8.950368 11.600000 -3.539443
8.950368 11.650000 -3.437779
8.898861 11.000000 -5.133812
8.898861 11.050000 -5.025462
8.898861 11.100000 -4.938818
8.898861 11.150000 -4.727841
8.898861 11.200000 -4.586458
8.898861 11.250000 -4.479971
8.898861 11.300000 -4.394521
8.898861 11.350000 -4.192391
8.898861 11.400000 -4.054996
8.898861 11.450000 -3.950780
8.898861 11.500000 -3.866796
8.898861 11.550000 -3.675134
8.898861 11.600000 -3.542614
8.898861 11.650000 -3.441218
8.898861 11.700000 -3.359072
8.848146 11.000000 -5.129321
8.848146 11.050000 -5.021202
8.848146 11.100000 -4.934705
8.848146 11.150000 -4.724641
